,agilitybook.csv,apolloplayer.csv,nug.csv,gotjava.csv,utgb.csv,redshell.csv,k3d.csv,red5.csv,ppcboot.csv,owlapi.csv,irrlicht.csv,xreal.csv,auber.csv
agilitybook.csv,0.97,0.3,0.36,0.0,0.4,0.53,0.2,0.28,0.23,0.21,0.67,0.11,0.44
apolloplayer.csv,0.13,1.0,0.26,0.0,0.57,0.36,0.13,0.55,0.65,0.22,0.27,0.0,0.27
auber.csv,0.27,0.39,0.17,0.0,0.48,0.77,0.22,0.47,0.31,0.12,0.53,0.04,1.0
irrlicht.csv,0.25,0.35,0.52,0.04,0.3,0.93,0.2,0.66,0.69,0.24,0.99,0.05,0.49
k3d.csv,0.08,0.29,0.11,0.0,0.11,0.2,0.97,0.44,0.69,0.0,0.23,0.0,0.08
nug.csv,0.27,0.37,1.0,0.0,0.46,0.48,0.1,0.63,0.62,0.31,0.62,0.07,0.33
owlapi.csv,0.09,0.08,0.0,0.0,0.11,0.09,0.06,0.17,0.12,0.98,0.09,0.0,0.0
ppcboot.csv,0.3,0.34,0.3,0.01,0.4,0.69,0.25,0.36,0.99,0.26,0.58,0.0,0.61
red5.csv,0.18,0.19,0.21,0.07,0.41,0.25,0.13,0.98,0.36,0.35,0.17,0.0,0.22
redshell.csv,0.24,0.38,0.49,0.0,0.54,1.0,0.31,0.66,0.59,0.24,0.61,0.03,0.71
utgb.csv,0.3,0.44,0.39,0.0,0.97,0.4,0.12,0.44,0.33,0.29,0.51,0.06,0.38
xreal.csv,0.0,0.1,0.0,0.0,0.06,0.1,0.0,0.0,0.0,0.0,0.08,1.0,0.0
