,agilitybook.csv,apolloplayer.csv,nug.csv,gotjava.csv,utgb.csv,redshell.csv,k3d.csv,red5.csv,ppcboot.csv,owlapi.csv,irrlicht.csv,xreal.csv,auber.csv
agilitybook.csv,0.05,0.72,0.7,1.18,0.74,0.98,0.75,0.85,0.9,0.85,0.74,0.41,0.8
apolloplayer.csv,0.9,0.0,0.81,1.23,0.74,0.87,0.87,0.68,0.91,0.75,0.85,1.04,0.84
auber.csv,0.67,0.6,0.94,1.24,0.75,0.72,0.72,0.75,0.8,0.88,0.67,0.8,0.0
irrlicht.csv,0.82,0.81,0.81,0.09,0.81,0.88,0.84,0.56,0.96,0.75,0.04,0.91,0.73
k3d.csv,0.93,0.8,0.94,1.0,0.94,0.9,0.07,0.71,1.0,1.0,0.88,1.0,0.97
nug.csv,0.59,0.64,0.0,1.01,0.68,0.68,0.9,0.56,0.68,0.62,0.77,0.67,0.8
owlapi.csv,0.95,0.96,1.0,1.0,0.94,0.95,0.97,0.91,0.94,0.04,0.95,1.0,1.0
ppcboot.csv,0.63,0.71,0.77,0.72,0.74,0.68,0.66,0.81,0.02,0.68,0.6,1.16,0.53
red5.csv,0.85,0.88,0.88,0.06,0.73,0.86,0.86,0.04,0.79,0.65,0.91,1.01,0.87
redshell.csv,1.0,1.0,1.0,0.98,0.81,0.0,0.7,0.8,0.7,0.7,0.68,0.92,0.98
utgb.csv,0.57,0.52,0.69,1.03,0.06,0.79,0.89,0.77,0.81,0.7,0.72,0.81,0.75
xreal.csv,1.0,0.94,1.0,1.0,0.97,0.95,1.0,1.0,1.0,1.0,0.96,0.0,1.0
