,agilitybook.csv,apolloplayer.csv,nug.csv,gotjava.csv,utgb.csv,redshell.csv,k3d.csv,red5.csv,ppcboot.csv,owlapi.csv,irrlicht.csv,xreal.csv,auber.csv
agilitybook.csv,0.95,0.46,0.35,0.0,0.31,0.37,0.43,0.19,0.17,0.56,0.6,0.8,0.4
apolloplayer.csv,0.11,1.0,0.24,0.0,0.63,0.22,0.27,0.49,0.88,0.44,0.17,0.0,0.16
auber.csv,0.37,0.46,0.18,0.0,0.46,0.64,0.33,0.4,0.22,0.16,0.39,0.4,1.0
irrlicht.csv,0.87,0.75,0.94,1.0,0.2,0.91,0.6,0.63,0.98,0.28,0.99,0.8,0.45
k3d.csv,0.11,0.21,0.06,0.0,0.06,0.11,0.93,0.3,1.0,0.0,0.14,0.0,0.04
nug.csv,0.55,0.58,1.0,0.0,0.34,0.32,0.13,0.58,0.7,0.44,0.53,0.4,0.24
owlapi.csv,0.05,0.04,0.0,0.0,0.06,0.05,0.03,0.09,0.06,0.96,0.05,0.0,0.0
ppcboot.csv,0.39,0.62,0.29,1.0,0.31,0.54,0.5,0.28,0.98,0.56,0.43,0.0,0.52
red5.csv,0.16,0.12,0.12,1.0,0.29,0.15,0.17,0.98,0.28,0.36,0.1,0.0,0.13
redshell.csv,1.0,1.0,1.0,1.0,0.6,1.0,0.93,0.74,0.65,0.44,0.5,0.4,0.99
utgb.csv,0.5,0.62,0.47,0.0,0.94,0.25,0.13,0.37,0.25,0.32,0.38,0.2,0.28
xreal.csv,0.0,0.08,0.0,0.0,0.03,0.05,0.0,0.0,0.0,0.0,0.04,1.0,0.0
