,awemud.csv,liferea.csv,go.csv,kwave.csv,dvd-create.csv,gbif-indexingtoolkit.csv,mpgravity.csv,clamav.csv,linux-ntfs.csv,libarchive.csv
awemud.csv,0.72,0.85,0.57,0.38,0.58,0.55,0.0,0.25,0.5,0.45
clamav.csv,0.54,0.69,0.68,0.31,0.7,0.27,0.0,0.7,0.73,0.71
dvd-create.csv,0.55,0.85,0.8,0.5,0.78,0.82,0.0,0.95,0.81,0.65
gbif-indexingtoolkit.csv,0.73,0.23,0.04,0.31,0.0,0.64,0.0,0.25,0.23,0.16
go.csv,0.74,0.85,0.71,0.5,0.32,0.64,0.0,0.3,0.69,0.71
kwave.csv,0.73,0.92,1.0,0.44,0.95,0.82,0.25,0.5,0.81,0.88
libarchive.csv,0.74,0.85,0.82,0.62,0.65,0.91,0.92,0.55,0.92,0.67
liferea.csv,0.58,0.77,0.62,0.31,0.66,0.45,0.42,0.35,0.5,0.63
linux-ntfs.csv,0.58,0.54,0.63,0.69,0.78,0.55,0.58,0.7,0.73,0.67
mpgravity.csv,0.78,0.92,0.63,0.44,0.64,0.64,0.67,0.7,0.81,0.88
