,awemud.csv,liferea.csv,go.csv,kwave.csv,dvd-create.csv,gbif-indexingtoolkit.csv,mpgravity.csv,clamav.csv,linux-ntfs.csv,libarchive.csv
awemud.csv,0.4,0.57,0.18,0.38,0.17,0.66,0.0,0.11,0.31,0.12
clamav.csv,0.4,0.39,0.49,0.39,0.39,0.4,0.07,0.19,0.52,0.5
dvd-create.csv,0.47,0.73,0.64,0.48,0.17,0.6,0.0,0.64,0.79,0.57
gbif-indexingtoolkit.csv,0.3,0.02,0.02,0.29,0.0,0.34,0.0,0.33,0.07,0.03
go.csv,0.53,0.73,0.2,0.3,0.06,0.7,0.0,0.19,0.62,0.35
kwave.csv,0.53,0.89,0.98,0.21,0.89,0.74,0.02,0.42,0.52,0.85
libarchive.csv,0.57,0.52,0.51,0.52,0.5,0.96,1.0,0.22,0.93,0.28
liferea.csv,0.2,0.34,0.27,0.3,0.61,0.48,0.29,0.14,0.38,0.41
linux-ntfs.csv,0.5,0.32,0.78,0.79,0.5,0.46,0.71,0.56,0.38,0.37
mpgravity.csv,0.5,0.86,0.24,0.45,0.56,0.74,0.22,0.5,0.86,0.66
