,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,ng4j.csv,jmule.csv
fritzing.csv,0.5,0.47,0.29,0.3,0.2,0.44,0.31,0.0
jlinalg.csv,0.14,0.22,0.88,0.66,0.2,0.65,0.63,1.0
jmule.csv,0.21,0.36,0.52,0.27,0.4,0.49,0.2,0.21
knowledge.csv,0.14,0.71,0.66,0.89,0.0,0.68,0.42,0.48
massiv.csv,0.0,0.04,0.16,0.0,0.0,0.03,0.0,0.03
ng4j.csv,0.0,0.0,0.39,0.05,0.0,0.13,0.29,0.14
playerstage.csv,0.14,0.37,0.57,0.23,0.4,0.35,0.39,0.07
superwaba.csv,0.14,0.22,0.22,0.25,0.2,0.48,0.32,0.28
