,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,galaxium.csv,runuomondains.csv,somap.csv,ondex.csv,tigermud.csv,ninject.csv,hydrate.csv
algebsql.csv,3.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,4.0,18.0,7.0,0.0,2.0,1.0,59.0,3.0
galaxium.csv,0.0,0.0,0.0,4.0,0.0,12.0,4.0,3.0,2.0,3.0,21.0,0.0,7.0,0.0,21.0,2.0
hydrate.csv,0.0,0.0,0.0,0.0,2.0,27.0,6.0,2.0,13.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0
ivef-sdk.csv,1.0,0.0,18.0,1.0,2.0,0.0,10.0,0.0,6.0,5.0,66.0,0.0,2.0,0.0,32.0,51.0
jmri.csv,0.0,0.0,1.0,1.0,7.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0
jython.csv,1.0,0.0,18.0,1.0,2.0,1.0,10.0,1.0,6.0,7.0,7.0,0.0,2.0,0.0,33.0,3.0
kdenlive.csv,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,30.0,0.0
ninject.csv,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,20.0,4.0,15.0,0.0,39.0,0.0,0.0,0.0
ondex.csv,1.0,0.0,1.0,0.0,10.0,96.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,5.0
opentibia.csv,0.0,0.0,0.0,1.0,1.0,1.0,6.0,3.0,1.0,1.0,7.0,0.0,2.0,0.0,8.0,4.0
runuomondains.csv,0.0,0.0,0.0,2.0,1.0,17.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,6.0,2.0
somap.csv,3.0,0.0,1.0,0.0,2.0,1.0,9.0,1.0,4.0,7.0,9.0,0.0,13.0,0.0,23.0,3.0
taverna.csv,0.0,0.0,0.0,0.0,0.0,1.0,9.0,6.0,0.0,7.0,2.0,0.0,2.0,1.0,59.0,0.0
tigermud.csv,3.0,0.0,1.0,49.0,0.0,96.0,0.0,10.0,114.0,24.0,5.0,0.0,7.0,0.0,8.0,1.0
unbvision.csv,2.0,0.0,6.0,1.0,1.0,1.0,3.0,1.0,2.0,9.0,0.0,0.0,0.0,1.0,13.0,1.0
x-ray-mule.csv,2.0,0.0,18.0,0.0,2.0,96.0,5.0,0.0,4.0,4.0,66.0,0.0,1.0,0.0,20.0,51.0
