,reactos-mirror.csv,qgo.csv,kmatplot.csv,nh3d.csv,taokgame.csv,mcore3d.csv,applet2app.csv,gbif-providertoolkit.csv,htmlunit.csv,qtwin.csv,unbvision.csv,wishmaster.csv,autat.csv,all-plasm.csv,acdk.csv,autowikibrowser.csv,uwom.csv
acdk.csv,0.18,0.58,0.46,0.0,0.22,0.26,0.4,0.48,0.46,0.01,0.27,0.24,0.1,0.41,0.97,0.39,0.34
all-plasm.csv,0.43,0.47,0.25,0.05,0.38,0.62,0.42,0.32,0.28,0.0,0.41,0.24,0.15,1.0,0.23,0.46,0.37
applet2app.csv,0.47,0.63,0.27,0.04,0.14,0.62,0.97,0.3,0.49,0.0,0.31,0.22,0.28,0.57,0.38,0.57,0.26
autat.csv,0.35,0.54,0.33,0.03,0.0,0.27,0.38,0.21,0.5,0.01,0.34,0.4,0.9,0.27,0.41,0.37,0.42
autowikibrowser.csv,0.47,0.75,0.48,0.02,0.05,0.49,0.51,0.33,0.5,0.01,0.4,0.35,0.29,0.27,0.6,0.98,0.34
gbif-providertoolkit.csv,0.13,0.16,0.34,0.0,0.43,0.22,0.31,0.92,0.18,0.04,0.27,0.25,0.2,0.32,0.16,0.48,0.38
htmlunit.csv,0.3,0.4,0.26,0.0,0.19,0.16,0.36,0.17,0.97,0.02,0.11,0.0,0.08,0.34,0.58,0.39,0.22
kmatplot.csv,0.29,0.36,0.95,0.14,0.15,0.23,0.28,0.36,0.25,0.01,0.24,0.21,0.09,0.15,0.37,0.36,0.26
mcore3d.csv,0.53,0.35,0.22,0.02,0.14,0.99,0.47,0.29,0.32,0.0,0.21,0.28,0.19,0.61,0.2,0.65,0.28
nh3d.csv,0.04,0.0,0.21,1.0,0.57,0.15,0.22,0.0,0.04,0.02,0.12,0.17,0.1,0.17,0.0,0.0,0.35
qgo.csv,0.45,0.98,0.39,0.01,0.23,0.61,0.49,0.46,0.59,0.01,0.48,0.3,0.4,0.51,0.52,0.63,0.43
qtwin.csv,0.0,0.18,0.0,0.0,0.0,0.0,0.06,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
reactos-mirror.csv,0.97,0.64,0.29,0.03,0.2,0.66,0.5,0.27,0.42,0.01,0.39,0.29,0.32,0.55,0.44,0.6,0.34
taokgame.csv,0.03,0.28,0.16,0.0,1.0,0.18,0.44,0.2,0.04,0.01,0.35,0.0,0.35,0.5,0.1,0.12,0.37
unbvision.csv,0.42,0.65,0.3,0.07,0.18,0.4,0.44,0.25,0.52,0.01,0.98,0.22,0.29,0.46,0.18,0.38,0.41
uwom.csv,0.57,0.6,0.28,0.02,0.12,0.48,0.48,0.37,0.52,0.01,0.19,0.15,0.34,0.49,0.48,0.47,0.98
wishmaster.csv,0.41,0.45,0.21,0.1,0.19,0.43,0.24,0.17,0.32,0.01,0.05,1.0,0.21,0.21,0.24,0.33,0.14
