,reactos-mirror.csv,qgo.csv,kmatplot.csv,nh3d.csv,taokgame.csv,mcore3d.csv,applet2app.csv,gbif-providertoolkit.csv,htmlunit.csv,qtwin.csv,unbvision.csv,wishmaster.csv,autat.csv,all-plasm.csv,acdk.csv,autowikibrowser.csv,uwom.csv
acdk.csv,0.89,0.74,0.54,1.0,0.8,0.85,0.74,0.51,0.63,0.53,0.79,0.86,0.94,0.72,0.07,0.73,0.72
all-plasm.csv,0.75,0.89,0.8,0.47,0.37,0.72,0.74,0.61,0.81,0.83,0.61,0.79,0.91,0.0,0.89,0.76,0.64
applet2app.csv,0.85,0.75,0.7,0.47,0.93,0.67,0.04,0.82,0.62,0.75,0.83,0.78,0.7,0.81,0.86,0.82,0.76
autat.csv,0.75,0.59,0.61,0.84,1.01,0.85,0.73,0.81,0.55,0.4,0.74,0.52,0.19,0.85,0.63,0.75,0.64
autowikibrowser.csv,0.65,0.33,0.41,0.72,0.97,0.72,0.57,0.59,0.57,0.34,0.61,0.58,0.67,0.93,0.4,0.05,0.7
gbif-providertoolkit.csv,0.92,0.91,0.7,1.0,0.43,0.88,0.77,0.14,0.89,0.5,0.79,0.79,0.81,0.81,0.91,0.64,0.67
htmlunit.csv,0.8,0.72,0.73,1.0,0.74,0.91,0.73,0.86,0.06,0.37,0.94,1.0,0.94,0.77,0.49,0.74,0.85
kmatplot.csv,0.81,0.77,0.1,0.75,0.82,0.87,0.81,0.66,0.83,0.57,0.87,0.81,0.94,0.91,0.71,0.76,0.76
mcore3d.csv,0.63,0.78,0.78,0.85,0.8,0.02,0.68,0.72,0.87,0.93,0.87,0.68,0.91,0.83,0.86,0.58,0.78
nh3d.csv,0.98,1.0,0.83,0.0,0.4,0.92,0.86,1.0,0.98,0.83,0.93,0.87,0.94,0.9,1.0,1.0,0.76
qgo.csv,0.66,0.03,0.52,1.05,0.61,0.59,0.59,0.43,0.44,0.32,0.54,0.65,0.53,0.6,0.5,0.47,0.55
qtwin.csv,1.0,0.9,1.0,1.0,1.0,1.0,0.97,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97
reactos-mirror.csv,0.06,0.83,0.79,0.62,0.79,0.61,0.84,0.94,0.91,0.83,0.75,0.69,0.8,0.97,0.84,0.73,0.79
taokgame.csv,0.99,0.82,0.9,1.0,0.0,0.9,0.77,0.86,0.98,0.54,0.74,1.01,0.64,0.6,0.94,0.94,0.75
unbvision.csv,0.71,0.7,0.7,0.32,0.73,0.75,0.69,0.71,0.53,0.36,0.01,0.77,0.72,0.71,0.9,0.8,0.6
uwom.csv,0.79,0.59,0.68,1.0,0.82,0.74,0.59,0.52,0.53,0.41,0.87,0.87,0.62,0.62,0.64,0.68,0.04
wishmaster.csv,0.74,0.78,0.79,0.75,0.68,0.73,0.84,0.84,0.77,0.68,0.97,0.0,0.83,0.92,0.83,0.8,0.91
