,f1
guineu.csv,0.41
campsoft.csv,0.06
gtad.csv,0.12
rhex.csv,0.29
owlib.csv,0.54
ktc.csv,0.68
jedit.csv,0.49
net-snmp.csv,0.62
encog-java.csv,0.28
umber.csv,0.47
jahshakafx.csv,0.53
jahshaka.csv,0.41
selenium.csv,0.51
paintown.csv,0.45
h2database.csv,0.37
x4x.csv,0.79
elmo.csv,0.11
jmoney.csv,0.39
google-collections.csv,0.07
baadengine.csv,0.57
raven-monitoring.csv,0.35
smbopensoft.csv,0.65
xharbour.csv,0.9
flylinkdc.csv,0.47
reactos-mirror.csv,0.6
qpe.csv,0.28
xbrlapi.csv,0.55
prelude.csv,0.25
neoengine.csv,0.6
atunes.csv,0.12
avifile.csv,0.04
lamp.csv,0.36
logicmail.csv,0.72
wgs-assembler.csv,0.48
plearn.csv,0.46
werx.csv,0.86
plog4u.csv,0.08
openwbem.csv,0.56
qgo.csv,0.46
jaql.csv,0.6
kmatplot.csv,0.41
pclasses.csv,0.23
agilitybook.csv,0.31
triplea.csv,0.52
raygina.csv,0.46
wpdev.csv,0.78
owfs.csv,0.31
olap-navigator.csv,0.58
pokeglobal.csv,0.79
nova.csv,0.25
sauerbraten.csv,0.74
graphmak.csv,0.53
jgameai.csv,0.29
gpsmid.csv,0.71
empyrean.csv,0.72
awemud.csv,0.5
crisscross.csv,0.31
re2c.csv,0.25
tzod.csv,0.53
octave.csv,0.27
adaptagrams.csv,0.7
open-media-library.csv,0.52
vdsf.csv,0.16
orc.csv,0.29
lazarus-ccr.csv,0.61
n2cms.csv,0.42
forester-atv.csv,0.59
mob-sen-plat.csv,0.26
nh3d.csv,0.02
amanda.csv,0.68
