,pci_20
guineu.csv,0.52
campsoft.csv,0.58
gtad.csv,0.44
rhex.csv,0.61
owlib.csv,0.49
ktc.csv,0.4
jedit.csv,0.62
net-snmp.csv,0.37
encog-java.csv,0.41
umber.csv,0.37
jahshakafx.csv,0.45
jahshaka.csv,0.52
selenium.csv,0.63
paintown.csv,0.8
h2database.csv,0.48
x4x.csv,0.32
elmo.csv,0.62
jmoney.csv,0.82
google-collections.csv,0.67
baadengine.csv,0.59
raven-monitoring.csv,0.46
smbopensoft.csv,0.27
xharbour.csv,0.34
flylinkdc.csv,0.43
reactos-mirror.csv,0.4
qpe.csv,0.51
xbrlapi.csv,0.39
prelude.csv,0.83
neoengine.csv,0.49
atunes.csv,0.41
avifile.csv,0.38
lamp.csv,0.77
logicmail.csv,0.32
wgs-assembler.csv,0.32
plearn.csv,0.49
werx.csv,0.35
plog4u.csv,0.65
openwbem.csv,0.46
qgo.csv,0.45
jaql.csv,0.36
kmatplot.csv,0.45
pclasses.csv,0.8
agilitybook.csv,0.47
triplea.csv,0.56
raygina.csv,0.57
wpdev.csv,0.38
owfs.csv,0.41
olap-navigator.csv,0.64
pokeglobal.csv,0.38
nova.csv,0.67
sauerbraten.csv,0.4
graphmak.csv,0.32
jgameai.csv,0.66
gpsmid.csv,0.43
empyrean.csv,0.49
awemud.csv,0.53
crisscross.csv,0.63
re2c.csv,0.67
tzod.csv,0.58
octave.csv,0.7
adaptagrams.csv,0.31
open-media-library.csv,0.56
vdsf.csv,0.26
orc.csv,0.44
lazarus-ccr.csv,0.5
n2cms.csv,0.71
forester-atv.csv,0.31
mob-sen-plat.csv,0.83
nh3d.csv,0.51
amanda.csv,0.35
