,pf
guineu.csv,0.22
campsoft.csv,0.31
gtad.csv,0.42
rhex.csv,0.22
owlib.csv,0.45
ktc.csv,0.28
jedit.csv,0.23
net-snmp.csv,0.78
encog-java.csv,0.58
umber.csv,0.6
jahshakafx.csv,0.72
jahshaka.csv,0.33
selenium.csv,0.09
paintown.csv,0.0
h2database.csv,0.32
x4x.csv,0.83
elmo.csv,0.18
jmoney.csv,0.12
google-collections.csv,0.0
baadengine.csv,0.23
raven-monitoring.csv,0.5
smbopensoft.csv,0.97
xharbour.csv,0.68
flylinkdc.csv,0.53
reactos-mirror.csv,0.6
qpe.csv,0.3
xbrlapi.csv,0.6
prelude.csv,0.0
neoengine.csv,0.33
atunes.csv,0.46
avifile.csv,0.6
lamp.csv,0.18
logicmail.csv,0.3
wgs-assembler.csv,0.79
plearn.csv,0.26
werx.csv,1.0
plog4u.csv,0.22
openwbem.csv,0.69
qgo.csv,0.29
jaql.csv,0.63
kmatplot.csv,0.51
pclasses.csv,0.21
agilitybook.csv,0.55
triplea.csv,0.24
raygina.csv,0.28
wpdev.csv,0.0
owfs.csv,0.63
olap-navigator.csv,0.07
pokeglobal.csv,0.59
nova.csv,0.02
sauerbraten.csv,0.5
graphmak.csv,0.61
jgameai.csv,0.33
gpsmid.csv,0.13
empyrean.csv,0.45
awemud.csv,0.2
crisscross.csv,0.38
re2c.csv,0.29
tzod.csv,0.25
octave.csv,0.22
adaptagrams.csv,0.92
open-media-library.csv,0.17
vdsf.csv,1.0
orc.csv,0.51
lazarus-ccr.csv,0.29
n2cms.csv,0.31
forester-atv.csv,0.78
mob-sen-plat.csv,0.05
nh3d.csv,0.99
amanda.csv,0.38
