,xbrlapi.csv,codeblocks.csv,fw4spl.csv,emulemorph.csv,ipfire-wall.csv,libmesh.csv,soar.csv,gnome-jabber.csv,ipfilter.csv,tencompetence.csv,fulguro.csv,rockbox.csv
codeblocks.csv,0.62,0.99,0.2,0.05,0.35,0.32,0.0,0.95,0.62,0.48,0.13,0.41
emulemorph.csv,0.25,1.0,0.0,1.0,0.0,0.0,0.72,0.0,0.0,0.78,0.0,1.0
fulguro.csv,0.78,0.67,0.2,0.0,0.42,0.35,0.4,1.0,1.0,0.68,1.0,1.0
fw4spl.csv,0.5,0.78,1.0,0.08,0.17,0.36,0.5,1.0,0.67,0.34,0.16,0.29
gnome-jabber.csv,0.51,0.79,0.14,0.06,0.33,0.34,0.56,0.98,0.7,0.63,0.14,0.46
ipfilter.csv,0.53,0.69,0.12,0.08,0.39,0.41,0.59,0.94,1.0,0.68,0.15,0.56
ipfire-wall.csv,0.79,0.93,0.15,0.0,1.0,0.5,0.49,1.0,0.81,0.68,0.15,0.8
libmesh.csv,0.54,0.74,0.12,0.0,0.33,0.96,0.58,0.9,0.75,0.76,0.13,0.12
rockbox.csv,0.52,0.85,0.12,0.06,0.44,0.36,0.53,0.97,0.8,0.58,0.12,1.0
soar.csv,0.48,0.73,0.13,0.06,0.25,0.35,0.97,0.95,0.76,0.67,0.13,0.35
tencompetence.csv,0.52,0.72,0.07,0.08,0.56,0.3,0.48,1.0,1.0,0.99,0.12,0.25
xbrlapi.csv,1.0,0.74,0.17,0.05,0.28,0.36,0.5,0.95,0.56,0.66,0.16,0.55
