,xbrlapi.csv,codeblocks.csv,fw4spl.csv,emulemorph.csv,ipfire-wall.csv,libmesh.csv,soar.csv,gnome-jabber.csv,ipfilter.csv,tencompetence.csv,fulguro.csv,rockbox.csv
codeblocks.csv,0.54,0.44,0.48,0.38,0.37,0.54,0.0,0.43,0.92,0.95,0.44,0.43
emulemorph.csv,0.75,0.0,0.0,0.75,0.0,0.0,0.72,0.0,0.0,0.99,0.0,0.0
fulguro.csv,0.89,0.97,0.9,0.9,0.92,0.96,0.9,0.8,0.5,0.98,0.91,0.5
fw4spl.csv,0.83,0.78,0.98,0.92,0.78,0.93,0.92,0.93,0.92,0.97,0.68,0.86
gnome-jabber.csv,0.36,0.42,0.45,0.38,0.38,0.42,0.37,0.52,0.32,0.46,0.49,0.41
ipfilter.csv,0.44,0.56,0.47,0.54,0.57,0.65,0.48,0.53,0.43,0.49,0.45,0.52
ipfire-wall.csv,0.93,0.93,0.77,0.94,0.56,0.8,0.32,0.83,0.48,0.89,0.5,0.8
libmesh.csv,0.66,0.96,0.99,0.92,0.89,0.92,0.52,0.97,0.88,0.99,0.77,0.94
rockbox.csv,0.39,0.61,0.55,0.49,0.52,0.54,0.33,0.38,0.4,0.45,0.53,0.47
soar.csv,0.42,0.5,0.47,0.52,0.47,0.63,0.53,0.52,0.59,0.54,0.5,0.5
tencompetence.csv,0.83,0.94,0.75,0.69,0.72,0.59,0.42,0.86,0.88,0.62,0.52,0.88
xbrlapi.csv,0.54,0.53,0.53,0.65,0.52,0.53,0.5,0.65,0.89,0.97,0.72,0.6
