,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.35,0.19,0.0,0.73,0.43,0.2,0.26,0.47,0.44,0.45
arsenal-1.csv,0.79,0.37,0.69,0.07,0.28,0.18,0.5,0.27,0.38,0.29
barracudamvc.csv,0.84,0.59,0.63,0.54,0.43,0.89,0.54,0.42,0.83,0.77
irplus.csv,0.69,0.56,0.32,0.62,0.53,0.55,0.58,0.48,0.72,0.62
lite.csv,0.66,0.32,0.56,0.33,0.29,0.57,0.45,0.54,0.52,0.59
mumble.csv,0.73,0.58,0.44,0.15,0.77,0.82,0.42,0.39,0.43,0.71
ontopia.csv,0.27,0.52,0.32,0.43,0.5,0.86,0.25,0.4,0.83,0.79
openintents.csv,0.33,0.62,0.3,0.71,0.24,0.41,0.53,0.5,0.67,0.71
ta3d.csv,0.45,0.2,0.57,0.09,0.09,0.36,0.29,0.0,0.13,0.63
tweetsharp.csv,0.52,0.56,0.63,0.55,0.5,0.68,0.4,0.37,0.83,0.58
