,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.15,0.18,0.0,0.29,0.06,0.21,0.05,0.34,0.27,0.19
arsenal-1.csv,1.0,0.36,0.29,0.16,0.18,0.36,0.11,0.1,0.07,0.0
barracudamvc.csv,0.2,0.82,0.97,0.94,0.97,0.64,0.95,0.9,0.87,1.0
irplus.csv,0.7,0.79,0.13,0.65,0.34,0.57,0.32,0.63,0.67,0.44
lite.csv,0.7,0.42,0.45,0.1,0.52,0.86,0.3,0.37,0.4,0.38
mumble.csv,0.45,0.88,0.61,0.1,0.15,0.57,0.7,0.44,0.4,0.44
ontopia.csv,0.3,0.76,0.16,0.45,0.58,0.29,0.23,0.61,0.6,0.88
openintents.csv,0.15,0.39,0.39,0.58,0.77,0.43,0.7,0.44,0.93,0.88
ta3d.csv,0.55,0.12,0.9,0.0,0.25,0.5,0.09,0.12,0.0,0.5
tweetsharp.csv,0.2,0.39,0.74,0.84,0.4,0.14,0.52,0.93,0.2,0.56
