,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.8,0.89,1.0,0.34,0.68,0.91,0.84,0.53,0.74,0.71
arsenal-1.csv,1.02,0.75,0.41,0.97,0.78,0.96,0.61,0.81,0.76,0.83
barracudamvc.csv,0.32,0.82,0.97,0.95,0.97,0.65,0.95,0.9,0.87,1.0
irplus.csv,0.81,0.81,0.79,0.66,0.47,0.81,0.48,0.65,0.74,0.63
lite.csv,0.83,0.81,0.61,0.78,0.8,1.01,0.63,0.45,0.72,0.64
mumble.csv,0.58,0.88,0.8,0.91,0.2,0.62,0.81,0.64,0.8,0.56
ontopia.csv,0.89,0.8,0.79,0.71,0.61,0.35,0.83,0.69,0.62,0.88
openintents.csv,0.81,0.5,0.84,0.58,0.98,0.84,0.73,0.51,0.99,0.9
ta3d.csv,0.87,0.88,0.92,0.95,0.95,0.91,0.81,1.01,0.93,0.66
tweetsharp.csv,0.67,0.56,0.76,0.86,0.51,0.49,0.74,0.95,0.31,0.74
