,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv,v8.csv
bochs.csv,0.4,0.46,0.43,0.52,0.66,0.49
encog-java.csv,0.62,0.94,0.5,0.96,0.75,0.89
h2database.csv,0.62,0.59,0.88,0.45,0.95,0.96
jaql.csv,0.39,0.57,0.54,0.45,0.43,0.63
raven-monitoring.csv,0.64,0.61,0.58,0.64,0.97,0.71
v8.csv,0.99,0.69,0.43,0.48,0.59,0.49
