,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv,v8.csv
bochs.csv,0.47,0.59,0.61,0.56,0.72,0.38
encog-java.csv,0.75,0.07,0.04,0.26,0.27,0.04
h2database.csv,0.61,0.71,0.13,0.68,0.24,0.13
jaql.csv,0.72,0.53,0.41,0.68,0.55,0.28
raven-monitoring.csv,0.35,0.35,0.72,0.39,0.09,0.37
v8.csv,0.11,0.52,0.45,0.46,0.2,0.84
