,kmatplot.csv,dynalloy.csv,applet2app.csv,cities3d.csv,genecys.csv,xemeiah.csv,ossbuild.csv,nabu-library.csv,modplug.csv,enzo.csv,xined.csv,nebuladevice.csv,autowikibrowser.csv,biodwh.csv,natpad.csv
applet2app.csv,0.31,0.54,0.97,0.07,0.8,0.44,0.11,0.69,0.64,0.76,0.17,0.2,0.45,0.21,0.38
autowikibrowser.csv,0.37,0.49,0.5,0.1,0.86,0.58,0.05,0.62,0.82,0.94,0.18,0.21,1.0,0.16,0.59
biodwh.csv,0.39,0.45,0.41,0.07,0.89,0.57,0.13,0.73,0.96,0.66,0.24,0.2,0.42,1.0,0.66
cities3d.csv,0.16,0.33,0.31,1.0,0.87,0.42,0.21,0.36,0.66,0.6,0.22,0.17,0.37,0.08,0.35
dynalloy.csv,0.27,0.98,0.49,0.11,0.88,0.48,0.1,0.47,0.79,0.83,0.18,0.18,0.46,0.29,0.41
enzo.csv,0.24,0.34,0.36,0.09,0.88,0.46,0.05,0.75,0.71,1.0,0.17,0.19,0.51,0.15,0.48
genecys.csv,0.18,0.35,0.36,0.09,1.0,0.49,0.13,0.44,0.72,0.8,0.19,0.18,0.46,0.13,0.4
kmatplot.csv,1.0,0.43,0.5,0.24,0.75,0.57,0.19,0.78,0.55,0.7,0.22,0.25,0.43,0.18,0.47
modplug.csv,0.19,0.38,0.45,0.1,0.91,0.46,0.07,0.74,1.0,0.72,0.2,0.21,0.48,0.2,0.54
nabu-library.csv,0.19,0.33,0.38,0.1,1.0,0.48,0.14,0.99,0.73,0.75,0.14,0.18,0.42,0.11,0.26
natpad.csv,0.28,0.37,0.35,0.15,0.89,0.57,0.13,0.79,0.74,0.78,0.26,0.17,0.55,0.14,1.0
nebuladevice.csv,0.34,0.35,0.47,0.5,0.83,0.75,0.15,0.66,0.84,1.0,0.6,1.0,0.44,0.11,0.47
ossbuild.csv,0.26,0.58,0.47,0.14,0.91,0.61,0.86,0.25,1.0,0.91,0.32,0.12,0.5,0.4,0.47
xemeiah.csv,0.39,0.33,0.5,0.24,0.9,1.0,0.14,0.64,0.93,0.7,0.26,0.32,0.72,0.15,0.71
xined.csv,0.36,0.41,0.33,0.17,0.84,0.65,0.24,0.47,1.0,1.0,1.0,0.14,0.48,0.15,0.68
