,kmatplot.csv,dynalloy.csv,applet2app.csv,cities3d.csv,genecys.csv,xemeiah.csv,ossbuild.csv,nabu-library.csv,modplug.csv,enzo.csv,xined.csv,nebuladevice.csv,autowikibrowser.csv,biodwh.csv,natpad.csv
applet2app.csv,0.27,0.18,0.02,0.84,1.0,0.65,0.26,0.29,0.88,0.92,0.67,0.58,0.85,0.31,0.84
autowikibrowser.csv,0.26,0.29,0.35,0.56,0.56,0.32,0.38,0.22,0.29,0.08,0.42,0.42,0.0,0.54,0.31
biodwh.csv,0.16,0.24,0.19,0.19,0.67,0.29,0.19,0.14,0.04,0.96,0.3,0.11,0.35,0.0,0.17
cities3d.csv,0.82,0.58,0.8,0.0,0.44,0.5,0.37,0.72,0.5,0.76,0.33,0.21,0.59,0.46,0.58
dynalloy.csv,0.31,0.01,0.37,0.58,0.89,0.5,0.37,0.75,0.42,0.52,0.86,0.38,0.83,0.21,0.53
enzo.csv,0.57,0.71,0.81,0.77,0.56,0.68,0.74,0.28,0.83,0.0,0.67,0.87,0.59,0.85,0.53
genecys.csv,0.99,0.98,0.96,0.92,0.0,0.86,1.0,0.98,0.75,1.0,0.98,0.85,0.94,1.0,1.0
kmatplot.csv,0.0,0.13,0.1,0.1,0.11,0.22,0.08,0.1,0.38,0.36,0.16,0.13,0.15,0.13,0.31
modplug.csv,0.7,0.58,0.51,0.81,0.56,0.77,0.85,0.31,0.0,0.84,0.77,0.68,0.83,0.63,0.48
nabu-library.csv,0.66,0.71,0.57,0.45,0.0,0.56,0.61,0.01,0.62,0.6,0.58,0.59,0.65,0.56,0.62
natpad.csv,0.34,0.57,0.54,0.3,0.44,0.5,0.47,0.06,0.38,0.68,0.47,0.42,0.19,0.54,0.0
nebuladevice.csv,0.18,0.16,0.2,0.04,0.11,0.05,0.1,0.11,0.12,0.0,0.05,0.0,0.46,0.11,0.16
ossbuild.csv,0.46,0.14,0.3,0.44,0.44,0.32,0.02,0.61,0.0,0.08,0.44,0.1,0.56,0.08,0.3
xemeiah.csv,0.24,0.44,0.31,0.19,0.33,0.0,0.39,0.17,0.08,0.48,0.33,0.18,0.17,0.56,0.16
xined.csv,0.18,0.45,0.75,0.26,0.56,0.14,0.23,0.77,0.0,0.0,0.0,0.25,0.24,0.41,0.16
