,kmatplot.csv,dynalloy.csv,applet2app.csv,cities3d.csv,genecys.csv,xemeiah.csv,ossbuild.csv,nabu-library.csv,modplug.csv,enzo.csv,xined.csv,nebuladevice.csv,autowikibrowser.csv,biodwh.csv,natpad.csv
applet2app.csv,0.38,0.44,0.95,0.13,0.66,0.51,0.14,0.65,0.67,0.73,0.27,0.3,0.58,0.3,0.51
autowikibrowser.csv,0.47,0.49,0.55,0.18,0.65,0.54,0.07,0.42,0.69,0.47,0.25,0.3,1.0,0.25,0.63
biodwh.csv,0.42,0.39,0.29,0.1,0.83,0.51,0.15,0.48,0.56,0.53,0.3,0.16,0.36,1.0,0.56
cities3d.csv,0.26,0.4,0.41,0.91,0.58,0.42,0.33,0.37,0.51,0.39,0.29,0.18,0.4,0.12,0.4
dynalloy.csv,0.36,0.96,0.54,0.19,0.89,0.51,0.15,0.54,0.73,0.72,0.29,0.25,0.6,0.36,0.48
enzo.csv,0.37,0.44,0.51,0.16,0.71,0.55,0.08,0.77,0.79,0.97,0.27,0.33,0.61,0.27,0.59
genecys.csv,0.3,0.51,0.53,0.17,1.0,0.65,0.23,0.54,0.77,0.89,0.32,0.3,0.63,0.23,0.57
kmatplot.csv,0.88,0.25,0.26,0.29,0.09,0.43,0.15,0.46,0.29,0.32,0.21,0.22,0.21,0.17,0.44
modplug.csv,0.3,0.48,0.56,0.17,0.86,0.58,0.12,0.78,0.99,0.61,0.31,0.34,0.63,0.32,0.67
nabu-library.csv,0.3,0.43,0.47,0.18,0.15,0.54,0.23,0.99,0.73,0.56,0.21,0.27,0.48,0.18,0.29
natpad.csv,0.38,0.45,0.42,0.25,0.67,0.65,0.2,0.35,0.58,0.66,0.38,0.24,0.36,0.21,1.0
nebuladevice.csv,0.38,0.21,0.38,0.46,0.15,0.29,0.14,0.3,0.43,0.16,0.4,0.93,0.45,0.1,0.29
ossbuild.csv,0.39,0.43,0.47,0.24,0.79,0.6,0.8,0.22,0.41,0.32,0.47,0.09,0.58,0.36,0.43
xemeiah.csv,0.49,0.36,0.53,0.34,0.59,0.98,0.21,0.4,0.61,0.39,0.34,0.35,0.61,0.24,0.62
xined.csv,0.4,0.46,0.45,0.26,0.56,0.41,0.33,0.54,0.33,0.08,1.0,0.17,0.35,0.22,0.57
