,dxengine.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,haggle.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,wsmt.csv,nunit.csv
dxengine.csv,0.93,0.36,0.23,0.31,0.33,0.16,0.07,0.6,0.0,0.12,0.0,0.35,0.38,0.23,0.22
e-bio-flow.csv,0.11,0.91,0.46,0.31,1.0,0.12,0.97,0.0,0.18,0.62,0.0,0.09,0.0,0.23,0.35
haggle.csv,0.74,0.23,0.38,0.42,0.33,0.99,0.43,0.2,0.55,0.88,0.5,0.53,0.0,0.11,0.6
hannosset.csv,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.09,0.0,0.83,0.0,0.0,0.0,0.0
jas.csv,0.26,0.27,0.08,0.04,0.0,0.04,0.03,0.0,0.0,0.0,0.0,0.13,1.0,0.11,0.0
jbpm.csv,0.0,0.5,0.08,0.98,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.02
jgossipforum.csv,0.11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.06,0.0,0.03,0.02
joustsim.csv,0.41,0.09,0.31,0.08,0.0,0.49,0.37,0.8,1.0,0.5,0.5,0.5,0.38,0.34,0.48
log4net.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
madman.csv,0.04,0.09,0.08,0.0,0.0,0.01,0.0,0.0,0.0,1.0,0.0,0.03,0.0,0.0,0.02
ngl.csv,0.67,0.5,0.92,0.77,1.0,0.73,0.63,0.8,0.82,0.88,0.33,0.99,0.75,0.34,0.57
nunit.csv,0.07,0.32,0.46,0.62,0.33,0.41,0.37,0.2,0.55,0.25,0.0,0.32,0.62,0.4,0.95
piccolo2d.csv,0.04,0.05,0.92,0.92,0.0,0.01,0.57,0.0,0.18,0.0,0.0,0.02,1.0,0.34,0.02
sblim.csv,0.04,0.95,0.0,0.12,0.0,0.04,0.17,0.0,0.18,0.38,0.0,0.01,0.0,0.14,0.12
wsmt.csv,0.11,0.09,0.23,0.17,0.0,0.39,0.23,0.0,0.27,0.0,0.0,0.31,0.25,0.97,0.5
