,dxengine.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,haggle.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,wsmt.csv,nunit.csv
dxengine.csv,0.94,0.41,0.27,0.36,0.38,0.19,0.09,0.63,0.0,0.15,0.0,0.4,0.43,0.27,0.26
e-bio-flow.csv,0.13,0.78,0.5,0.35,0.89,0.14,0.98,0.0,0.21,0.63,0.0,0.11,0.0,0.27,0.39
haggle.csv,0.66,0.27,0.42,0.46,0.37,0.99,0.47,0.23,0.58,0.82,0.51,0.55,0.0,0.13,0.57
hannosset.csv,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.11,0.0,0.86,0.0,0.0,0.0,0.0
jas.csv,0.3,0.31,0.1,0.05,0.0,0.05,0.04,0.0,0.0,0.0,0.0,0.16,1.0,0.13,0.0
jbpm.csv,0.0,0.53,0.1,0.98,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.02
jgossipforum.csv,0.13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07,0.0,0.04,0.02
joustsim.csv,0.45,0.11,0.36,0.1,0.0,0.52,0.41,0.8,1.0,0.53,0.51,0.53,0.43,0.38,0.52
log4net.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
madman.csv,0.05,0.11,0.1,0.0,0.0,0.01,0.0,0.0,0.0,1.0,0.0,0.04,0.0,0.0,0.02
ngl.csv,0.6,0.52,0.68,0.71,0.82,0.69,0.59,0.78,0.76,0.76,0.37,0.99,0.7,0.36,0.56
nunit.csv,0.09,0.36,0.48,0.65,0.37,0.43,0.4,0.24,0.55,0.28,0.0,0.36,0.64,0.42,0.96
piccolo2d.csv,0.05,0.06,0.93,0.69,0.0,0.01,0.53,0.0,0.2,0.0,0.0,0.02,0.45,0.35,0.02
sblim.csv,0.05,0.96,0.0,0.15,0.0,0.05,0.2,0.0,0.22,0.43,0.0,0.01,0.0,0.17,0.15
wsmt.csv,0.13,0.11,0.27,0.2,0.0,0.41,0.27,0.0,0.3,0.0,0.0,0.35,0.27,0.97,0.51
