,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,modplug.csv,enzo.csv,elateportal.csv,sandiaportals.csv,biodwh.csv,factor.csv,miranda.csv
alpine.csv,0.17,0.0,0.48,0.0,0.61,0.81,0.4,0.0,0.56,0.15,0.75,0.0,0.16,0.06,0.0
badtrinity-zero.csv,0.09,0.0,0.67,0.0,0.59,0.17,0.11,0.0,0.61,0.0,0.73,0.5,0.54,0.77,0.58
biodwh.csv,0.41,0.49,0.35,0.55,0.5,0.46,0.31,0.54,0.47,0.49,0.06,0.33,0.83,0.31,0.63
critterding.csv,0.55,0.63,0.44,0.56,0.39,0.38,0.37,0.58,0.65,0.73,0.62,0.62,0.59,0.77,0.45
elateportal.csv,0.55,0.53,0.54,0.69,0.72,0.78,0.51,0.63,0.41,0.23,0.96,0.55,0.5,0.71,0.51
enzo.csv,0.49,0.52,0.17,0.58,0.41,0.47,0.62,0.7,0.3,0.81,0.0,0.23,0.05,0.0,0.6
factor.csv,0.04,0.33,0.13,0.62,0.13,0.37,0.0,0.25,0.06,0.02,0.24,0.29,0.2,0.92,0.6
gusanos.csv,0.44,0.55,0.38,0.37,0.64,0.38,0.0,0.81,0.18,0.02,0.75,0.0,0.47,0.18,0.55
miranda.csv,0.0,0.0,0.46,0.0,0.71,0.43,0.0,0.0,0.42,0.0,0.78,0.0,0.2,0.06,0.72
modplug.csv,0.41,0.62,0.5,0.52,0.47,0.42,0.0,0.47,0.8,0.55,0.81,0.8,0.52,0.72,0.21
monetdb.csv,0.41,0.21,0.43,0.2,0.6,0.54,0.3,0.22,0.49,0.11,0.71,0.25,0.47,0.54,0.26
quarkplayer.csv,0.42,0.11,0.43,0.3,0.02,0.1,0.73,0.12,0.21,0.43,0.0,0.18,0.1,0.31,0.13
reactos-mirror.csv,0.62,0.67,0.59,0.68,0.73,0.67,0.64,0.59,0.69,0.64,0.79,0.0,0.52,0.06,0.0
sandiaportals.csv,0.56,0.61,0.5,0.69,0.68,0.52,0.53,0.54,0.58,0.37,0.0,0.76,0.55,0.8,0.64
xbplayer.csv,0.31,0.42,0.52,0.71,0.61,0.68,0.4,0.48,0.58,0.11,0.46,0.48,0.63,0.31,0.66
