,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,ffigo.csv,gstreamer.csv,metacosm.csv
aufs.csv,0.35,0.18,0.38,0.31,0.27,0.7,0.08,0.0,0.26,0.35,0.0,0.22,0.08,0.48
bdbbasic.csv,0.68,0.18,0.31,0.44,0.23,0.81,0.02,0.05,0.84,0.87,0.19,0.59,0.13,0.67
echongl.csv,0.48,0.23,0.81,0.44,0.82,0.73,0.14,0.35,0.74,0.83,0.4,0.54,0.36,0.59
etherboot.csv,0.03,0.5,0.0,0.03,0.45,0.11,0.0,0.43,0.47,0.0,0.81,0.0,0.0,0.96
ffigo.csv,0.23,0.14,0.56,0.26,0.64,0.68,0.06,0.02,0.53,0.45,0.02,0.72,0.05,0.0
freebios.csv,0.52,0.14,0.25,0.59,0.45,0.11,0.8,0.42,0.47,0.47,0.51,0.62,0.2,0.26
gebr.csv,1.0,1.0,0.94,0.85,0.77,0.95,0.94,0.68,1.0,0.96,0.91,0.87,0.97,1.0
gnukeda.csv,0.94,0.5,0.38,0.79,0.64,0.49,0.24,0.37,0.05,0.22,0.21,0.18,0.05,0.93
gstreamer.csv,0.87,0.77,0.25,0.56,0.68,0.89,0.47,0.52,0.95,0.81,0.77,0.74,0.7,1.0
jnode.csv,0.0,0.36,0.88,0.36,0.0,0.0,0.12,0.41,0.16,0.09,0.06,0.07,0.04,0.07
metacosm.csv,0.16,0.32,0.12,0.28,0.18,0.38,0.08,0.32,0.21,0.31,0.26,0.41,0.21,0.74
openmeetings.csv,0.55,0.91,0.62,0.18,0.73,0.51,0.02,0.35,0.32,0.62,0.72,0.54,0.42,0.59
pgui.csv,0.74,0.95,0.0,0.69,0.82,0.84,0.24,0.78,0.89,0.05,0.68,0.0,0.0,1.0
wxcrp.csv,0.65,0.68,1.0,0.59,1.0,0.97,0.61,0.98,0.95,0.95,0.96,0.75,1.0,0.85
