,opensim4opencog.csv,bnetd.csv,moving-pictures.csv,irplus.csv,xcmetadataservicestoolkit.csv,carabiner.csv,gnome-jabber.csv,gmerlin.csv,fleet-simulator.csv,ipfilter.csv,mevenide.csv,ta3d.csv,elvishrayrenderer.csv,rockbox.csv
bnetd.csv,176.0,98.5,416.5,1300.5,191.0,1948.0,196.0,294.0,98.5,96.5,294.5,194.5,97.5,96.5
carabiner.csv,293.0,98.5,288.5,732.5,194.0,86.5,294.5,294.0,98.5,96.5,196.0,194.5,97.5,96.5
elvishrayrenderer.csv,783.0,98.5,383.0,837.5,191.0,286.0,294.5,268.5,98.5,197.5,196.0,197.5,97.5,96.5
fleet-simulator.csv,980.5,98.5,383.0,1543.0,194.0,97.5,294.5,385.5,98.5,197.5,841.5,197.5,97.5,96.5
gmerlin.csv,0.0,279.5,383.0,1623.5,194.0,196.5,196.0,195.0,98.5,96.5,294.5,98.5,97.5,96.5
gnome-jabber.csv,2535.5,98.5,286.5,1579.0,93.5,178.0,196.0,294.0,96.5,96.5,294.5,95.5,97.5,96.5
ipfilter.csv,391.5,186.0,288.5,1480.5,194.0,196.5,294.5,294.0,98.5,197.5,294.5,197.5,97.5,96.5
irplus.csv,147.0,98.5,431.5,690.5,191.0,272.5,95.5,294.0,91.5,96.5,294.5,95.5,97.5,96.5
mevenide.csv,276.0,0.0,141.0,299.0,87.5,135.0,71.5,54.5,75.5,96.5,97.5,95.5,94.5,108.0
moving-pictures.csv,203.5,186.0,262.5,633.5,194.0,97.5,194.0,268.5,96.5,96.5,285.5,95.5,97.5,96.5
opensim4opencog.csv,314.0,98.5,261.5,667.0,191.0,1801.0,194.0,294.0,98.5,96.5,294.5,95.5,94.5,96.5
rockbox.csv,512.0,186.0,362.0,411.5,185.0,1002.5,95.5,189.5,98.5,96.5,196.0,92.5,97.5,96.5
ta3d.csv,130.0,0.0,88.5,427.0,87.5,196.5,95.5,0.0,96.5,96.5,96.5,194.5,0.0,0.0
xcmetadataservicestoolkit.csv,571.0,90.5,134.0,670.5,191.0,97.5,294.5,294.0,94.5,96.5,293.5,197.5,94.5,169.5
