,jython.csv,jitterbit.csv,gzigzag.csv,blue-c.csv,jguard.csv,unbvision.csv,ppcboot.csv,repositorium.csv,personalaccess.csv,xbg.csv,gdis.csv,wxstudio.csv,icescrum.csv,elateportal.csv
blue-c.csv,0.11,0.04,0.58,0.9,0.55,0.76,0.56,0.11,0.43,0.46,0.44,0.4,0.32,0.87
elateportal.csv,0.0,0.0,0.25,0.12,0.41,0.5,0.18,0.0,0.0,0.09,0.0,0.04,0.46,1.0
gdis.csv,0.0,0.05,0.17,0.72,0.52,0.0,0.35,0.47,0.0,0.52,0.73,0.17,0.39,0.18
gzigzag.csv,0.0,0.0,0.46,0.44,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0
icescrum.csv,0.0,0.0,0.49,0.09,0.27,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
jguard.csv,0.0,0.0,0.61,0.41,0.76,0.45,0.58,0.0,0.15,0.68,0.71,0.41,0.58,0.45
jitterbit.csv,0.41,0.56,0.57,0.78,0.48,0.54,0.0,0.22,0.45,0.29,0.09,0.34,0.6,0.4
jython.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
personalaccess.csv,0.0,0.52,0.33,0.0,0.21,0.24,0.0,0.09,0.6,0.56,0.0,0.35,0.0,0.0
ppcboot.csv,0.0,0.0,0.05,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.31,0.19,0.13,0.0
repositorium.csv,0.0,0.0,0.35,0.17,0.27,0.24,0.09,0.6,0.01,0.0,0.58,0.17,0.0,0.0
unbvision.csv,0.0,0.0,0.42,0.0,0.43,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wxstudio.csv,0.0,0.0,0.49,0.21,0.57,0.31,0.46,0.31,0.01,0.68,0.39,0.74,0.38,0.0
xbg.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.61
