,fbmanager.csv,scen-connect.csv,wxlua.csv,officefloor.csv,stuproa-cims.csv,tart.csv,ontopia.csv,jgossipforum.csv,powerfolder.csv,madman.csv,power-architect.csv,hannosset.csv,bzbyte.csv,mediaportal.csv,poormans.csv,fleet-simulator.csv,ninject.csv,jruby.csv,hydrate.csv,uface.csv
bzbyte.csv,0.42,0.42,0.46,0.42,0.4,0.36,0.44,0.47,0.42,0.38,0.37,0.37,0.39,0.37,0.41,0.37,0.44,0.46,0.38,0.43
fbmanager.csv,0.48,0.71,0.68,0.47,0.76,0.36,0.46,0.51,0.63,0.65,0.36,0.37,0.41,0.42,0.42,0.85,0.83,0.55,0.65,0.56
fleet-simulator.csv,0.43,0.42,0.5,0.4,0.34,0.35,0.36,0.41,0.3,0.4,0.33,0.37,0.34,0.37,0.37,0.3,0.44,0.43,0.37,0.36
hannosset.csv,0.0,0.5,0.0,0.98,0.86,0.75,0.0,0.0,0.5,0.5,0.0,0.83,0.0,0.89,0.75,0.0,0.0,0.0,0.5,0.75
hydrate.csv,0.6,0.58,0.52,0.44,0.61,0.86,0.53,0.41,0.4,0.52,0.35,0.75,0.49,0.37,0.43,0.34,0.64,0.48,0.39,0.54
jgossipforum.csv,0.0,0.0,0.0,0.0,0.75,0.67,0.0,0.8,0.0,0.0,0.0,0.0,0.8,0.91,0.0,0.0,0.0,0.0,0.0,0.0
jruby.csv,0.59,0.83,0.81,0.39,0.41,0.7,0.41,0.5,0.32,0.33,0.39,0.36,0.41,0.62,0.48,0.46,0.59,0.48,0.85,0.79
madman.csv,0.0,0.58,0.83,0.99,0.94,0.92,0.83,0.0,0.89,0.88,0.83,0.92,0.83,0.98,0.92,0.89,0.67,0.8,0.67,0.96
mediaportal.csv,0.0,0.56,0.0,0.88,0.38,0.9,0.42,0.48,0.47,0.5,0.68,0.88,0.46,0.96,0.98,0.39,0.82,0.61,0.8,0.56
ninject.csv,0.5,0.78,0.0,0.95,0.88,0.8,0.89,0.0,0.93,0.8,0.86,0.0,0.91,0.88,0.93,0.73,0.8,0.81,0.53,0.91
officefloor.csv,0.8,0.4,0.67,0.97,0.37,0.92,0.41,0.49,0.44,0.9,0.8,0.57,0.53,0.99,0.97,0.34,0.7,0.58,0.75,0.45
ontopia.csv,0.48,0.8,0.73,0.46,0.4,0.36,0.37,0.48,0.35,0.45,0.42,0.36,0.47,0.46,0.46,0.51,0.56,0.46,0.79,0.44
poormans.csv,0.75,0.82,0.63,0.57,0.95,0.63,0.58,0.92,0.88,0.64,0.55,0.62,0.52,0.42,0.69,0.48,0.75,0.5,0.39,0.86
power-architect.csv,0.62,0.39,0.75,0.41,0.48,0.54,0.44,0.5,0.52,0.53,0.42,0.68,0.44,0.37,0.46,0.31,0.55,0.45,0.37,0.41
powerfolder.csv,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.67,0.5,0.67,0.0,0.0,0.0,0.0,0.0
stuproa-cims.csv,0.66,0.86,0.61,0.48,0.81,0.45,0.33,0.44,0.39,0.49,0.36,0.83,0.49,0.37,0.52,0.42,0.41,0.44,0.42,0.44
tart.csv,0.0,0.0,0.0,0.67,0.75,0.8,0.5,0.86,0.0,0.0,0.0,0.5,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.5
uface.csv,0.38,0.4,0.49,0.39,0.35,0.37,0.3,0.41,0.31,0.43,0.34,0.38,0.33,0.34,0.38,0.32,0.38,0.42,0.4,0.38
wxlua.csv,0.39,0.39,0.52,0.45,0.37,0.36,0.33,0.42,0.37,0.42,0.32,0.36,0.33,0.35,0.48,0.3,0.37,0.45,0.36,0.42
