,gtad.csv,wgs-assembler.csv,nh3d.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,tokratan.csv,mvnforum.csv,myfaces.csv,ogrehg.csv,m-a-d-n-e-s-s.csv,lcfizvtop.csv,gusanos.csv,pydev.csv,mediaportal.csv,free-evolution.csv,pnotepad.csv,cme.csv
blogentis.csv,29.0,7.0,0.0,0.0,21.0,0.0,0.0,10.0,10.0,5.0,4.0,0.0,3.0,0.0,3.0,2.0,59.0,16.0,0.0,56.0
cme.csv,72.0,108.0,355.0,59.0,169.0,92.0,60.0,91.0,138.0,61.0,350.0,345.0,84.0,58.0,95.0,104.0,0.0,139.0,57.0,0.0
free-evolution.csv,20.0,4.0,355.0,0.0,2.0,8.0,0.0,8.0,18.0,0.0,36.0,0.0,7.0,1.0,3.0,1.0,10.0,0.0,1.0,16.0
gtad.csv,0.0,0.0,355.0,0.0,0.0,0.0,60.0,91.0,1.0,2.0,22.0,0.0,0.0,58.0,0.0,1.0,9.0,1.0,0.0,56.0
gusanos.csv,20.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,21.0,2.0,12.0,0.0,5.0,7.0,0.0,11.0,1.0,3.0,1.0,56.0
kaffeine.csv,50.0,5.0,105.0,0.0,2.0,7.0,0.0,1.0,29.0,13.0,12.0,1.0,4.0,0.0,3.0,3.0,23.0,16.0,0.0,16.0
lcfizvtop.csv,6.0,3.0,355.0,0.0,40.0,1.0,1.0,2.0,38.0,0.0,7.0,5.0,0.0,0.0,0.0,2.0,23.0,0.0,2.0,56.0
m-a-d-n-e-s-s.csv,9.0,0.0,355.0,0.0,5.0,13.0,0.0,2.0,12.0,4.0,9.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,4.0
m-m-m.csv,50.0,6.0,0.0,0.0,17.0,13.0,0.0,14.0,18.0,1.0,37.0,1.0,1.0,27.0,2.0,2.0,6.0,16.0,0.0,22.0
mediaportal.csv,72.0,4.0,355.0,1.0,24.0,15.0,0.0,2.0,22.0,1.0,37.0,1.0,2.0,0.0,0.0,2.0,0.0,139.0,0.0,56.0
mvnforum.csv,30.0,6.0,0.0,0.0,19.0,12.0,0.0,1.0,11.0,0.0,50.0,1.0,3.0,0.0,3.0,1.0,19.0,4.0,0.0,56.0
myfaces.csv,51.0,7.0,0.0,0.0,24.0,15.0,0.0,9.0,22.0,1.0,0.0,0.0,3.0,0.0,2.0,2.0,23.0,15.0,2.0,9.0
nh3d.csv,3.0,108.0,0.0,0.0,15.0,2.0,0.0,2.0,13.0,7.0,31.0,0.0,2.0,5.0,1.0,2.0,0.0,3.0,0.0,56.0
ogrehg.csv,72.0,3.0,0.0,0.0,6.0,1.0,0.0,14.0,15.0,1.0,19.0,0.0,2.0,0.0,1.0,2.0,1.0,14.0,2.0,56.0
pnotepad.csv,46.0,4.0,0.0,1.0,9.0,14.0,0.0,2.0,43.0,1.0,30.0,0.0,2.0,14.0,2.0,2.0,1.0,4.0,0.0,24.0
pydev.csv,72.0,2.0,80.0,0.0,8.0,0.0,0.0,3.0,9.0,6.0,5.0,2.0,2.0,6.0,1.0,0.0,42.0,15.0,3.0,25.0
sarasvati.csv,2.0,1.0,355.0,0.0,0.0,1.0,0.0,0.0,0.0,61.0,8.0,4.0,1.0,0.0,0.0,2.0,1.0,5.0,0.0,12.0
taokgame.csv,10.0,1.0,355.0,0.0,5.0,4.0,0.0,0.0,10.0,3.0,7.0,0.0,0.0,58.0,0.0,0.0,1.0,0.0,0.0,56.0
tokratan.csv,6.0,1.0,152.0,2.0,169.0,14.0,0.0,4.0,0.0,1.0,12.0,3.0,0.0,6.0,0.0,3.0,20.0,0.0,0.0,9.0
wgs-assembler.csv,72.0,0.0,0.0,1.0,9.0,8.0,0.0,1.0,17.0,8.0,9.0,0.0,4.0,2.0,0.0,4.0,0.0,2.0,0.0,56.0
