,gtad.csv,wgs-assembler.csv,nh3d.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,tokratan.csv,mvnforum.csv,myfaces.csv,ogrehg.csv,m-a-d-n-e-s-s.csv,lcfizvtop.csv,gusanos.csv,pydev.csv,mediaportal.csv,free-evolution.csv,pnotepad.csv,cme.csv
blogentis.csv,0.71,0.85,0.8,1.01,0.74,0.0,0.74,0.93,0.76,0.86,0.7,0.93,1.01,0.82,0.86,0.91,0.89,0.97,1.05,1.03
cme.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,0.0
free-evolution.csv,0.65,0.89,1.01,0.78,0.74,0.67,0.87,0.84,0.83,0.68,0.62,0.74,0.82,0.73,0.98,0.52,0.64,0.15,0.78,0.75
gtad.csv,0.0,0.87,1.0,0.9,0.64,0.88,1.0,1.0,0.87,0.89,0.52,0.94,0.88,1.0,0.96,0.83,0.75,0.94,0.96,1.0
gusanos.csv,0.42,0.8,0.71,0.51,0.41,0.7,0.82,0.36,0.65,0.68,0.42,0.54,0.69,0.57,0.03,0.72,0.57,0.53,0.64,1.06
kaffeine.csv,1.06,0.94,0.97,0.09,0.51,0.64,1.15,0.98,0.69,0.93,0.65,0.98,0.97,0.96,1.0,0.79,0.89,0.98,0.9,0.85
lcfizvtop.csv,0.21,0.8,1.0,0.59,0.86,0.84,0.95,0.81,0.93,0.81,0.6,0.74,0.8,0.09,0.79,0.79,0.72,0.67,0.86,1.03
m-a-d-n-e-s-s.csv,0.28,0.59,1.1,0.76,0.82,0.75,0.79,0.92,0.76,0.9,0.67,0.72,0.04,0.82,0.8,0.58,0.66,0.85,0.85,0.42
m-m-m.csv,0.89,0.72,0.98,0.73,0.8,0.96,0.0,0.97,0.89,0.93,0.99,0.82,0.56,0.93,0.45,0.85,0.62,0.98,0.74,1.04
mediaportal.csv,1.0,0.78,1.0,1.09,1.0,0.97,0.73,0.64,0.95,0.85,0.96,0.91,0.96,0.91,0.96,0.93,0.22,1.0,0.92,1.16
mvnforum.csv,0.67,0.85,0.67,0.93,0.97,0.76,0.76,0.39,0.75,0.11,0.92,0.73,0.75,0.87,0.91,0.81,0.88,0.86,0.88,1.04
myfaces.csv,1.07,0.92,0.99,0.48,0.97,0.92,0.92,0.59,0.94,0.82,0.13,0.68,0.69,0.91,0.87,0.77,0.72,0.93,1.01,0.63
nh3d.csv,0.51,1.0,0.0,0.88,0.67,0.67,0.79,0.21,0.55,0.91,0.68,0.73,0.8,0.83,0.91,0.53,0.64,0.79,0.69,1.03
ogrehg.csv,1.19,0.66,0.56,0.83,0.56,0.74,0.86,0.88,0.46,0.72,0.72,0.09,0.68,0.59,0.56,0.56,0.57,0.84,1.06,1.04
pnotepad.csv,0.87,0.92,0.8,0.39,0.72,0.96,0.84,0.98,0.81,0.92,0.98,0.67,0.78,0.67,0.88,0.9,0.81,0.65,0.1,1.0
pydev.csv,1.0,0.66,0.81,0.67,0.74,0.64,1.04,0.86,0.87,0.86,0.67,0.76,0.77,0.84,0.7,0.06,0.59,0.81,0.82,0.78
sarasvati.csv,0.5,0.92,1.0,0.92,0.0,0.96,0.92,0.9,0.87,1.0,0.69,0.93,0.96,0.93,0.96,0.73,0.76,0.94,0.96,0.64
taokgame.csv,0.54,0.95,1.0,0.92,0.91,0.88,0.98,0.0,0.94,0.69,0.7,0.81,0.8,1.0,0.87,0.83,0.89,0.85,0.88,1.03
tokratan.csv,0.21,0.73,0.95,0.84,1.0,0.98,0.92,0.66,0.2,0.96,0.69,0.71,0.66,0.83,0.94,0.68,0.87,0.82,0.92,0.4
wgs-assembler.csv,1.0,0.03,0.56,0.78,0.58,0.77,0.94,0.38,0.89,0.83,0.79,0.68,0.85,0.82,0.59,0.73,0.69,0.77,0.9,1.03
