,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,emeraldemu.csv,maya-work-in-progress.csv,unimrcp.csv,grafx2.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,xmoto.csv
emeraldemu.csv,0.89,0.69,0.79,1.0,0.14,0.69,0.78,0.15,0.16,0.15,0.57,0.14,0.53
grafx2.csv,0.84,0.74,0.7,0.75,0.26,0.69,0.66,0.74,0.77,0.79,0.53,0.64,0.61
jahshakafx.csv,0.84,0.72,0.79,0.46,0.32,0.81,0.47,0.44,0.7,0.74,0.63,0.79,0.61
kftpgrabber.csv,0.47,0.28,0.0,0.08,0.36,0.41,0.09,0.3,0.21,0.12,0.9,0.21,0.28
kindb.csv,0.93,0.73,0.97,0.83,0.66,0.86,0.56,0.63,0.51,0.82,0.97,0.21,0.69
maya-work-in-progress.csv,0.99,0.96,0.91,0.96,1.0,0.89,0.81,0.89,0.84,0.85,0.93,1.0,0.81
netatalk.csv,0.87,0.93,0.85,1.0,0.38,0.79,0.84,0.41,0.72,0.91,0.6,0.64,0.67
nullc.csv,0.81,0.98,1.0,1.0,0.68,0.69,0.19,0.37,0.42,0.56,0.97,0.36,0.53
plee-the-bear.csv,0.76,0.38,0.79,0.04,0.34,0.59,0.56,0.48,0.6,0.62,0.43,0.57,0.56
reaper-ecad.csv,0.57,0.56,0.61,0.58,0.28,0.37,0.0,0.0,0.33,0.24,0.57,0.21,0.22
unimrcp.csv,0.88,0.71,0.67,0.92,0.38,0.69,0.75,0.74,0.47,0.71,0.73,0.5,0.5
unladen-swallow.csv,0.18,0.44,0.45,0.04,0.18,0.41,0.38,0.7,0.44,0.44,0.53,0.71,0.11
xmoto.csv,0.74,0.74,0.73,0.08,0.52,0.76,0.59,0.74,0.79,0.94,0.6,0.93,0.69
