,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,sigil.csv,pcsx2.csv,img-browse-sort.csv,enzo.csv,doomlegacy.csv,salasaga.csv,pi-qmc.csv,open-ms.csv,skia.csv
decidr.csv,0.71,0.6,0.58,0.57,0.5,0.89,0.99,0.77,0.72,0.79,0.87,0.52,0.78,0.85,0.84,0.72,0.79,0.59,0.73,0.83
doomlegacy.csv,0.77,0.8,0.62,0.54,0.67,0.56,0.33,0.7,0.64,0.29,0.61,0.31,0.82,0.54,0.64,0.99,0.75,0.5,0.65,0.65
elmo.csv,0.04,0.8,0.0,0.04,0.01,0.03,0.05,0.0,0.0,0.0,0.01,0.0,0.0,0.08,0.02,0.01,0.0,0.0,0.0,0.0
enzo.csv,0.96,1.0,0.84,0.78,0.87,0.86,0.97,0.91,0.78,0.86,0.75,0.65,0.74,1.0,0.98,0.85,0.86,0.86,0.82,0.91
gpac.csv,0.34,0.4,0.32,0.48,0.43,0.64,0.49,0.93,0.37,0.79,0.55,0.58,0.57,0.54,0.49,0.41,0.36,0.59,0.36,0.52
img-browse-sort.csv,0.13,0.4,0.16,0.24,0.14,0.19,0.2,0.54,0.43,0.29,0.21,0.27,0.43,1.0,0.03,0.05,0.5,0.0,0.03,0.13
ktc.csv,0.94,0.2,0.3,0.26,0.44,0.22,0.18,0.18,0.17,0.21,0.31,0.33,0.25,0.38,0.41,0.36,0.5,0.14,0.38,0.35
neoengine.csv,0.63,1.0,0.97,0.67,0.63,0.39,0.47,0.89,0.81,0.71,0.66,0.58,0.72,0.54,0.64,0.5,0.96,0.36,0.63,0.61
nicepress.csv,0.45,0.2,0.4,0.02,0.57,1.0,0.06,0.3,0.37,0.0,0.27,0.23,0.17,0.08,0.17,0.31,0.18,0.59,0.24,0.26
open-ms.csv,0.33,0.4,0.29,0.48,0.23,0.47,0.2,0.2,0.54,0.29,0.34,0.19,0.51,0.15,0.31,0.42,0.25,0.05,0.88,0.52
pcsx2.csv,0.65,0.8,0.62,0.48,0.7,0.28,0.67,0.71,0.71,0.5,0.66,0.71,0.98,0.92,0.31,0.29,0.93,0.41,0.58,0.52
pi-qmc.csv,0.51,0.4,0.55,0.43,0.4,0.39,0.31,0.34,0.32,0.43,0.69,0.44,0.49,0.54,0.52,0.38,0.36,0.95,0.39,0.17
rosegarden.csv,0.54,0.2,0.44,0.22,0.96,0.5,0.15,0.12,0.29,0.36,0.31,0.54,0.28,0.0,0.36,0.28,0.39,0.27,0.36,0.35
salasaga.csv,0.58,0.8,0.59,0.61,0.54,0.56,0.53,0.54,0.7,0.29,0.63,0.56,0.64,0.62,0.66,0.72,0.93,0.68,0.69,0.83
sigil.csv,0.79,0.4,0.49,0.65,0.55,0.67,0.62,0.64,0.31,0.86,0.64,1.0,0.7,0.77,0.3,0.22,0.39,0.5,0.56,0.57
skia.csv,0.37,0.2,0.31,0.07,0.38,0.22,0.2,0.09,0.26,0.5,0.19,0.29,0.2,0.38,0.38,0.28,0.36,0.41,0.3,0.91
smarttag.csv,0.46,0.4,0.51,0.22,0.5,0.39,0.3,0.38,0.36,0.93,0.46,0.21,0.32,0.23,0.26,0.45,0.96,0.18,0.27,0.26
sylpheed-claws.csv,0.62,0.6,0.69,0.61,0.58,0.64,0.52,0.66,0.96,0.71,0.7,0.48,0.56,0.69,0.52,0.45,0.75,0.5,0.54,0.78
xemeiah.csv,0.61,0.4,0.66,0.52,0.65,0.53,0.51,0.57,0.46,0.43,0.99,0.67,0.48,0.62,0.75,0.68,0.61,0.45,0.55,0.52
zscreen.csv,0.78,0.2,0.57,0.98,0.71,0.75,0.66,0.73,0.62,0.86,0.73,0.9,0.7,0.62,0.9,0.54,0.68,0.59,0.66,0.61
