,awemud.csv,liferea.csv,go.csv,kwave.csv,dvd-create.csv,gbif-indexingtoolkit.csv,mpgravity.csv,clamav.csv,linux-ntfs.csv,libarchive.csv
awemud.csv,0.77,0.41,0.76,0.27,0.85,0.22,0.0,0.54,0.62,0.6
clamav.csv,0.71,0.47,0.7,0.37,0.79,0.2,0.43,0.71,0.58,0.64
dvd-create.csv,0.65,0.39,0.74,0.25,0.86,0.35,0.15,0.58,0.7,0.61
gbif-indexingtoolkit.csv,0.8,0.37,0.49,0.26,0.71,0.42,0.0,0.45,0.58,0.56
go.csv,0.81,0.41,0.79,0.38,0.57,0.26,0.47,0.4,0.58,0.56
kwave.csv,0.77,0.35,0.78,0.41,0.83,0.3,0.0,0.2,0.64,0.63
libarchive.csv,0.83,0.41,0.79,0.26,0.89,0.3,0.44,0.56,0.53,0.61
liferea.csv,0.64,0.53,0.67,0.22,0.74,0.12,0.21,0.58,0.54,0.59
linux-ntfs.csv,0.64,0.34,0.6,0.3,0.81,0.3,0.3,0.56,0.66,0.54
mpgravity.csv,0.82,0.39,0.76,0.28,0.82,0.32,0.71,0.56,0.65,0.61
