,awemud.csv,liferea.csv,go.csv,kwave.csv,dvd-create.csv,gbif-indexingtoolkit.csv,mpgravity.csv,clamav.csv,linux-ntfs.csv,libarchive.csv
awemud.csv,0.39,0.26,0.41,0.39,0.4,0.42,0.0,0.4,0.38,0.46
clamav.csv,0.35,0.32,0.38,0.4,0.34,0.4,0.41,0.45,0.35,0.41
dvd-create.csv,0.46,0.27,0.41,0.41,0.38,0.37,0.0,0.36,0.38,0.48
gbif-indexingtoolkit.csv,0.42,0.36,0.7,0.46,0.44,0.52,0.0,0.46,0.45,0.51
go.csv,0.45,0.31,0.5,0.58,0.6,0.38,0.8,0.73,0.39,0.58
kwave.csv,0.44,0.36,0.41,0.83,0.44,0.35,0.0,0.9,0.45,0.49
libarchive.csv,0.37,0.26,0.38,0.41,0.36,0.32,0.34,0.35,0.33,0.49
liferea.csv,0.4,0.52,0.41,0.41,0.41,0.5,0.71,0.5,0.41,0.44
linux-ntfs.csv,0.43,0.55,0.47,0.4,0.38,0.41,0.38,0.43,0.44,0.49
mpgravity.csv,0.4,0.3,0.42,0.4,0.39,0.37,0.56,0.36,0.37,0.45
