,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv,wxcode.csv,olex2.csv
adobe-source.csv,0.29,0.55,0.25,0.1,0.24,0.16,0.17,0.28,0.22,0.85,0.48,0.24
aubit4gl.csv,0.45,0.75,0.56,0.33,0.98,0.38,0.4,0.49,0.62,0.45,0.43,0.5
liferea.csv,0.26,0.0,0.25,0.93,0.22,0.55,0.35,0.38,0.46,0.47,0.33,0.39
moving-pictures.csv,0.59,0.53,0.5,0.46,0.43,0.65,0.94,0.61,0.64,0.42,0.45,0.49
olex2.csv,0.59,0.36,0.52,0.63,0.44,0.6,0.51,0.52,0.5,0.57,0.72,0.94
opensim4opencog.csv,0.17,0.0,0.09,0.42,0.18,0.93,0.13,0.29,0.26,0.09,0.0,0.12
plearn.csv,0.9,0.51,0.4,0.53,0.45,0.34,0.37,0.52,0.81,0.53,0.39,0.54
psrchive.csv,0.18,0.37,0.94,0.0,0.11,0.11,0.05,0.05,0.13,0.31,0.75,0.15
re2c.csv,0.37,1.0,0.6,0.0,0.57,0.33,0.51,0.41,0.76,0.36,0.42,0.52
rebecca-aiml.csv,0.39,0.2,0.4,0.53,0.6,0.46,0.49,0.57,0.98,0.3,0.45,0.47
wxcode.csv,0.26,0.2,0.34,0.0,0.3,0.0,0.09,0.11,0.02,0.04,1.0,0.15
xfce.csv,0.61,0.41,0.66,0.53,0.53,0.57,0.33,0.96,0.46,0.61,0.52,0.6
