,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv,wxcode.csv,olex2.csv
adobe-source.csv,0.25,0.5,0.21,0.08,0.2,0.13,0.14,0.24,0.19,0.83,0.43,0.2
aubit4gl.csv,0.46,0.83,0.57,0.31,1.0,0.35,0.36,0.45,0.59,0.43,0.43,0.52
liferea.csv,0.22,0.0,0.21,0.92,0.19,0.52,0.32,0.33,0.41,0.43,0.29,0.35
moving-pictures.csv,0.66,0.67,0.71,0.46,0.41,0.7,0.93,0.66,0.69,0.4,0.43,0.77
olex2.csv,0.59,0.33,0.5,0.62,0.41,0.61,0.5,0.48,0.46,0.63,0.71,0.93
opensim4opencog.csv,0.14,0.0,0.07,0.38,0.15,0.91,0.11,0.25,0.22,0.07,0.0,0.1
plearn.csv,0.88,0.5,0.36,0.54,0.89,0.3,0.68,0.63,0.85,0.6,0.86,0.6
psrchive.csv,0.15,0.33,0.93,0.0,0.09,0.09,0.04,0.04,0.11,0.27,0.71,0.12
re2c.csv,0.32,1.0,0.64,0.0,0.56,0.3,0.54,0.38,0.74,0.33,0.43,0.63
rebecca-aiml.csv,0.34,0.17,0.36,0.54,0.78,0.43,0.5,0.6,0.98,0.27,0.43,0.42
wxcode.csv,0.22,0.17,0.29,0.0,0.26,0.0,0.07,0.09,0.02,0.03,1.0,0.12
xfce.csv,0.69,0.67,0.79,0.69,0.7,0.87,0.75,0.96,0.76,0.73,0.57,0.8
