,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv,wxcode.csv,olex2.csv
adobe-source.csv,0.52,0.6,0.33,1.0,0.79,0.27,1.0,0.82,0.28,0.83,0.27,0.75
aubit4gl.csv,0.23,0.18,0.18,0.15,0.93,0.1,0.53,0.8,0.51,0.19,0.06,0.44
liferea.csv,0.34,0.0,0.16,1.0,0.37,0.22,0.43,0.89,0.58,0.25,0.13,0.51
moving-pictures.csv,0.32,0.1,0.15,0.2,0.5,0.16,1.0,0.74,0.36,0.16,0.08,0.45
olex2.csv,0.36,0.1,0.19,0.35,0.58,0.17,0.5,0.82,0.45,0.2,0.21,1.0
opensim4opencog.csv,0.35,0.0,0.14,0.33,0.53,1.0,0.33,0.65,0.4,0.2,0.0,0.33
plearn.csv,0.95,0.12,0.21,0.23,0.54,0.11,0.41,0.67,0.51,0.18,0.08,0.45
psrchive.csv,0.53,0.12,1.0,0.0,0.62,0.2,1.0,1.0,0.3,0.31,0.62,0.88
re2c.csv,0.45,0.86,0.19,0.0,0.61,0.1,0.45,0.68,0.68,0.15,0.06,0.44
rebecca-aiml.csv,0.47,0.33,0.25,0.23,0.56,0.14,0.45,0.73,0.98,0.14,0.09,0.69
wxcode.csv,0.57,0.33,0.33,0.0,0.64,0.0,1.0,0.94,0.11,0.14,1.0,0.7
xfce.csv,0.32,0.09,0.2,0.22,0.52,0.14,0.43,0.98,0.28,0.21,0.08,0.49
