,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv,wxcode.csv,olex2.csv
adobe-source.csv,0.75,0.5,0.79,0.92,0.8,0.87,0.86,0.77,0.84,0.17,0.58,0.8
aubit4gl.csv,0.81,0.48,0.64,0.87,0.08,0.8,0.71,0.6,0.47,0.7,0.81,0.74
liferea.csv,0.8,1.04,0.81,0.08,0.89,0.54,0.78,0.67,0.6,0.64,0.73,0.71
moving-pictures.csv,0.67,0.78,0.82,0.77,0.75,0.58,0.07,0.63,0.6,0.76,0.74,0.84
olex2.csv,0.59,0.76,0.64,0.51,0.68,0.57,0.67,0.57,0.58,0.7,0.38,0.07
opensim4opencog.csv,0.87,1.0,0.93,0.66,0.86,0.09,0.91,0.81,0.79,0.94,1.0,0.92
plearn.csv,0.12,0.66,0.69,0.7,0.86,0.77,0.93,0.78,0.36,0.75,0.89,0.74
psrchive.csv,0.85,0.72,0.07,1.0,0.91,0.91,0.96,0.96,0.9,0.75,0.29,0.88
re2c.csv,0.7,0.02,0.62,1.08,0.6,0.8,0.74,0.74,0.3,0.79,0.84,0.78
rebecca-aiml.csv,0.68,0.83,0.67,0.7,0.72,0.68,0.74,0.65,0.02,0.83,0.71,0.6
wxcode.csv,0.78,0.83,0.72,1.0,0.76,1.0,0.93,0.91,0.98,0.97,0.0,0.88
xfce.csv,0.66,0.91,0.64,0.79,0.79,0.77,0.94,0.06,0.85,0.68,0.74,0.73
