,opensim4opencog.csv,bnetd.csv,moving-pictures.csv,irplus.csv,xcmetadataservicestoolkit.csv,carabiner.csv,gnome-jabber.csv,gmerlin.csv,fleet-simulator.csv,ipfilter.csv,mevenide.csv,ta3d.csv,elvishrayrenderer.csv,rockbox.csv
bnetd.csv,0.67,0.03,0.87,0.87,0.8,0.61,0.53,0.7,0.25,0.64,0.73,0.66,0.78,0.51
carabiner.csv,0.64,0.6,0.89,0.79,0.94,0.0,1.0,1.0,0.3,0.92,0.63,0.56,0.68,0.55
elvishrayrenderer.csv,0.91,0.5,0.98,0.77,0.85,0.72,1.0,0.79,0.73,0.91,0.69,0.85,0.0,0.87
fleet-simulator.csv,0.98,0.72,0.94,0.8,0.77,0.77,1.0,0.72,0.0,1.0,0.65,1.0,0.9,0.51
gmerlin.csv,0.6,0.85,0.74,0.78,0.71,0.92,0.83,0.0,0.74,0.73,0.48,0.7,0.81,0.98
gnome-jabber.csv,0.72,0.81,0.82,0.73,0.53,0.82,0.4,0.68,0.18,0.88,0.87,0.55,0.91,0.81
ipfilter.csv,0.52,0.74,0.72,0.94,0.69,0.53,1.01,0.82,0.91,0.0,0.96,0.73,0.89,0.63
irplus.csv,0.51,0.82,0.63,0.0,0.75,0.96,0.87,0.56,0.56,0.57,0.52,0.88,0.79,0.7
mevenide.csv,0.75,0.73,0.71,0.7,0.6,0.86,1.0,0.87,1.0,0.65,0.0,0.63,0.68,0.89
moving-pictures.csv,0.67,0.89,0.0,0.67,0.72,0.94,0.81,0.67,1.04,0.85,0.87,0.77,0.65,0.92
opensim4opencog.csv,0.0,1.0,0.93,0.59,0.68,0.95,0.88,0.94,0.89,0.91,0.75,0.92,1.0,1.0
rockbox.csv,0.6,0.62,0.77,0.74,0.76,0.52,0.74,0.66,0.43,0.79,0.69,0.49,0.65,0.0
ta3d.csv,0.86,0.76,0.94,0.65,0.76,0.92,0.57,0.75,0.11,0.96,0.92,0.0,0.75,0.74
xcmetadataservicestoolkit.csv,0.68,0.8,0.74,0.81,0.0,0.63,1.0,0.78,0.32,0.79,0.81,0.6,0.69,0.73
