,opensim4opencog.csv,bnetd.csv,moving-pictures.csv,irplus.csv,xcmetadataservicestoolkit.csv,carabiner.csv,gnome-jabber.csv,gmerlin.csv,fleet-simulator.csv,ipfilter.csv,mevenide.csv,ta3d.csv,elvishrayrenderer.csv,rockbox.csv
bnetd.csv,0.36,0.5,0.26,0.33,0.31,0.52,0.42,0.32,0.3,0.34,0.41,0.37,0.33,0.33
carabiner.csv,0.46,0.62,0.35,0.37,0.34,0.64,0.52,0.37,0.3,0.42,0.44,0.37,0.37,0.58
elvishrayrenderer.csv,0.41,0.67,0.31,0.39,0.38,0.48,0.52,0.52,0.44,0.38,0.63,0.49,0.44,0.65
fleet-simulator.csv,0.41,0.37,0.27,0.34,0.32,0.41,0.52,0.33,0.3,0.37,0.39,0.41,0.36,0.36
gmerlin.csv,0.61,0.89,0.64,0.71,0.5,0.88,0.69,0.62,0.64,0.69,0.6,0.54,0.62,0.89
gnome-jabber.csv,0.46,0.39,0.37,0.41,0.38,0.4,0.52,0.35,0.31,0.42,0.51,0.43,0.35,0.44
ipfilter.csv,0.4,0.81,0.36,0.37,0.37,0.54,0.51,0.45,0.4,0.43,0.47,0.51,0.38,0.5
irplus.csv,0.55,0.76,0.46,0.6,0.56,0.92,0.62,0.44,0.42,0.5,0.73,0.48,0.42,0.55
mevenide.csv,0.53,0.64,0.35,0.62,0.5,0.76,0.51,0.46,0.57,0.41,0.83,0.5,0.4,0.75
moving-pictures.csv,0.69,0.45,0.5,0.49,0.41,0.45,0.6,0.71,0.65,0.66,0.55,0.53,0.45,0.49
opensim4opencog.csv,0.96,0.0,0.75,0.71,0.59,0.0,0.91,0.86,0.83,0.8,0.74,0.75,0.0,0.0
rockbox.csv,0.43,0.42,0.36,0.5,0.48,0.55,0.41,0.38,0.35,0.41,0.47,0.33,0.34,0.47
ta3d.csv,0.41,0.44,0.29,0.38,0.35,0.41,0.42,0.36,0.31,0.38,0.45,0.43,0.38,0.46
xcmetadataservicestoolkit.csv,0.44,0.92,0.37,0.36,0.4,0.43,0.52,0.81,0.36,0.35,0.6,0.5,0.48,0.64
