,firebird.csv,ontomorphtab.csv,taokgame.csv,applet2app.csv,xbplayer.csv,htmlunit.csv,webdriver.csv,smarttag.csv,monetdb.csv,fmri-dmt.csv
applet2app.csv,0.76,0.88,0.13,0.51,0.46,0.51,0.55,0.3,0.5,0.08
firebird.csv,0.67,0.77,0.11,0.46,0.38,0.36,0.44,0.27,0.46,0.09
fmri-dmt.csv,0.42,0.64,0.11,0.34,0.3,0.22,0.39,0.3,0.19,0.32
htmlunit.csv,0.66,0.82,0.14,0.47,0.45,0.53,0.52,0.29,0.44,0.11
monetdb.csv,0.69,0.76,0.41,0.46,0.36,0.51,0.56,0.29,0.56,0.08
ontomorphtab.csv,0.55,0.84,0.11,0.42,0.32,0.39,0.56,0.3,0.37,0.1
smarttag.csv,0.51,0.71,0.03,0.41,0.42,0.37,0.58,0.43,0.35,0.13
taokgame.csv,0.83,0.8,0.56,0.33,0.54,0.26,0.66,0.24,0.83,0.17
webdriver.csv,0.54,0.72,0.17,0.37,0.5,0.37,0.71,0.31,0.44,0.1
xbplayer.csv,0.66,0.81,0.19,0.48,0.5,0.5,0.63,0.28,0.62,0.09
