,firebird.csv,ontomorphtab.csv,taokgame.csv,applet2app.csv,xbplayer.csv,htmlunit.csv,webdriver.csv,smarttag.csv,monetdb.csv,fmri-dmt.csv
applet2app.csv,0.33,0.43,0.8,0.63,0.83,0.56,0.76,0.5,0.81,0.5
firebird.csv,0.55,0.86,1.0,0.8,0.9,0.97,0.84,1.0,0.79,1.0
fmri-dmt.csv,0.39,0.51,0.9,0.52,0.83,0.26,0.2,1.0,0.19,1.0
htmlunit.csv,0.55,0.66,0.4,0.51,0.71,0.6,0.76,0.71,0.62,0.67
monetdb.csv,0.49,0.37,0.9,0.43,0.79,0.51,0.67,0.79,0.74,0.17
ontomorphtab.csv,0.89,0.77,1.0,0.81,0.98,0.87,0.73,0.93,0.98,0.83
smarttag.csv,0.57,0.71,0.1,0.84,0.67,0.49,0.8,0.64,0.34,0.67
taokgame.csv,0.23,0.34,1.0,0.37,0.31,0.06,0.51,0.43,0.32,0.17
webdriver.csv,0.79,0.74,0.8,0.75,0.5,0.33,0.76,0.64,0.74,0.33
xbplayer.csv,0.47,0.74,0.8,0.65,0.67,0.63,0.69,0.64,0.55,0.33
