,firebird.csv,ontomorphtab.csv,taokgame.csv,applet2app.csv,xbplayer.csv,htmlunit.csv,webdriver.csv,smarttag.csv,monetdb.csv,fmri-dmt.csv
applet2app.csv,0.67,0.53,0.36,0.48,0.41,0.48,0.32,0.39,0.37,0.33
firebird.csv,0.45,0.38,0.37,0.44,0.38,0.34,0.34,0.38,0.36,0.3
fmri-dmt.csv,0.8,0.68,0.41,0.69,0.47,0.83,0.96,0.43,0.98,0.79
htmlunit.csv,0.37,0.43,0.59,0.49,0.35,0.48,0.35,0.44,0.36,0.39
monetdb.csv,0.55,0.53,0.95,0.66,0.49,0.52,0.41,0.42,0.46,0.85
ontomorphtab.csv,0.37,0.41,0.37,0.41,0.4,0.31,0.34,0.37,0.34,0.29
smarttag.csv,0.47,0.43,0.5,0.45,0.45,0.46,0.4,0.48,0.59,0.42
taokgame.csv,0.94,0.87,0.94,0.66,0.79,0.95,0.71,0.68,0.94,0.83
webdriver.csv,0.42,0.47,0.6,0.5,0.52,0.67,0.5,0.48,0.4,0.6
xbplayer.csv,0.48,0.34,0.47,0.43,0.52,0.45,0.39,0.38,0.55,0.52
