,firebird.csv,ontomorphtab.csv,taokgame.csv,applet2app.csv,xbplayer.csv,htmlunit.csv,webdriver.csv,smarttag.csv,monetdb.csv,fmri-dmt.csv
applet2app.csv,0.68,0.58,0.68,0.5,0.48,0.5,0.57,0.65,0.43,0.77
firebird.csv,0.54,0.45,1.0,0.57,0.7,0.78,0.92,0.97,0.49,0.98
fmri-dmt.csv,0.85,0.68,0.91,0.74,0.91,0.85,0.84,0.82,0.9,0.21
htmlunit.csv,0.54,0.42,0.67,0.59,0.49,0.47,0.62,0.68,0.54,0.64
monetdb.csv,0.56,0.66,0.19,0.64,0.67,0.54,0.56,0.72,0.38,0.86
ontomorphtab.csv,0.81,0.33,1.0,0.65,0.96,0.64,0.55,0.77,0.8,0.78
smarttag.csv,0.73,0.56,1.01,0.69,0.53,0.64,0.52,0.47,0.73,0.55
taokgame.csv,0.77,0.67,0.1,0.76,0.7,0.95,0.54,0.75,0.68,0.84
webdriver.csv,0.75,0.54,0.53,0.76,0.55,0.71,0.36,0.62,0.52,0.73
xbplayer.csv,0.6,0.38,0.47,0.52,0.45,0.47,0.46,0.69,0.48,0.75
