,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,plato.csv,onotoa.csv,rodin-b-sharp.csv,gwanted.csv,proftp.csv,echongl.csv,xpontus.csv,unicase.csv,uclmda.csv,google-web-toolkit.csv,findbugs.csv,codesmith.csv
codesmith.csv,0.25,0.99,0.09,0.78,0.92,0.79,0.34,0.21,0.42,0.51,0.02,0.85,0.98,0.61,0.31,0.89
echongl.csv,0.25,1.0,0.14,0.65,0.79,0.85,0.38,0.22,0.55,0.93,0.01,0.72,0.5,0.64,0.47,0.68
findbugs.csv,0.27,1.0,0.11,0.64,0.8,0.84,0.27,0.2,0.55,0.86,0.01,0.73,0.75,0.64,0.53,0.65
google-web-toolkit.csv,0.26,1.0,0.11,0.7,0.77,0.84,0.2,0.29,0.53,0.83,0.01,0.73,0.89,0.71,0.44,0.72
gwanted.csv,0.33,1.0,0.17,0.76,0.87,0.87,0.39,0.39,0.62,0.78,0.01,0.74,1.0,0.64,0.41,1.0
ivatamasks.csv,0.27,1.0,0.08,0.85,0.79,0.81,0.23,0.24,0.59,0.7,0.01,0.71,0.97,0.63,0.39,0.71
onotoa.csv,0.09,0.99,0.03,1.0,1.0,0.82,0.12,0.2,0.17,0.72,0.0,0.65,0.99,0.64,0.34,0.72
orc.csv,0.08,1.0,0.33,0.73,0.86,0.84,0.33,0.23,0.6,0.0,0.02,0.81,0.43,0.64,0.53,0.58
plato.csv,0.27,0.99,0.08,0.71,0.94,0.81,0.36,0.2,0.45,0.73,0.01,0.73,0.97,0.59,0.39,0.67
proftp.csv,0.47,1.0,0.23,0.63,0.8,0.86,0.39,0.24,0.69,0.9,0.02,0.8,0.0,0.59,0.36,0.0
rodin-b-sharp.csv,0.83,0.98,0.35,0.58,0.83,0.79,0.74,0.13,0.3,0.82,0.0,0.84,1.0,0.56,0.38,0.53
uclmda.csv,0.0,1.0,0.03,0.0,0.67,0.74,0.21,0.0,0.3,1.0,0.0,0.42,1.0,0.59,0.29,0.82
umber.csv,0.77,0.98,0.11,0.73,0.84,0.82,0.39,0.16,0.45,0.71,0.01,0.82,0.98,0.56,0.3,0.65
unicase.csv,0.57,0.98,0.13,0.65,0.87,0.87,0.43,0.18,0.48,0.74,0.01,0.83,0.5,0.58,0.36,0.62
wpdev.csv,0.26,1.0,0.1,0.68,0.84,0.84,0.36,0.15,0.45,0.72,0.01,0.73,0.96,0.59,0.38,0.63
