,f1,g,recall,precision,pf,wins
codesmith.csv,0.485,0.495,0.57,0.56,0.41000000000000003,7
echongl.csv,0.5800000000000001,0.595,0.825,0.595,0.625,14
findbugs.csv,0.66,0.55,0.765,0.64,0.745,12
google-web-toolkit.csv,0.515,0.47,0.53,0.705,0.5800000000000001,5
gwanted.csv,0.475,0.55,0.55,0.69,0.33,13
ivatamasks.csv,0.615,0.525,0.7,0.665,0.69,10
onotoa.csv,0.265,0.265,0.265,0.645,0.495,1
orc.csv,0.37,0.38,0.33999999999999997,0.5549999999999999,0.245,3
plato.csv,0.725,0.335,0.955,0.63,0.905,8
proftp.csv,0.43999999999999995,0.435,0.48,0.53,0.22999999999999998,6
rodin-b-sharp.csv,0.43,0.37,0.4,0.6599999999999999,0.27,4
uclmda.csv,0.075,0.065,0.055,0.36,0.11499999999999999,0
umber.csv,0.7150000000000001,0.37,0.905,0.6799999999999999,0.89,9
unicase.csv,0.665,0.545,0.84,0.575,0.765,11
wpdev.csv,0.72,0.05,1.0,0.61,0.99,2
