,dynalloy.csv,electric-core.csv,nosleepsoftware.csv,cities3d.csv,mptvseries.csv,mvnforum.csv,botsnscouts.csv,sumatrapdf.csv,ogre.csv,autat.csv,openfrag.csv,jparsec.csv,img-browse-sort.csv,qdvdauthor.csv,findbugs.csv,moast.csv,zxing.csv
autat.csv,0.36,0.55,0.0,0.27,0.73,0.32,0.69,0.82,0.9,0.38,0.88,0.41,0.22,0.8,0.52,0.79,1.0
botsnscouts.csv,0.4,0.34,0.75,0.18,0.22,0.26,0.76,0.44,0.98,0.3,0.62,0.48,0.24,0.79,0.34,0.93,0.77
cities3d.csv,0.39,0.38,0.26,0.21,0.5,0.33,0.57,0.71,0.92,0.22,0.53,0.46,0.27,0.81,0.44,0.6,0.86
dynalloy.csv,0.64,0.31,0.0,0.13,0.54,0.32,0.53,0.62,0.95,0.15,0.67,0.38,0.35,0.71,0.38,0.95,0.91
electric-core.csv,0.46,0.42,0.0,0.12,0.48,0.3,0.63,0.65,0.97,0.22,0.6,0.45,0.35,0.7,0.44,0.93,0.85
findbugs.csv,0.43,0.51,0.19,0.22,0.61,0.32,0.7,0.76,0.93,0.23,0.83,0.39,0.32,0.82,0.6,0.89,0.82
img-browse-sort.csv,0.53,0.37,0.0,0.14,0.58,0.25,0.91,0.56,0.95,0.29,0.68,0.58,0.64,0.77,0.58,0.94,0.92
jparsec.csv,0.35,0.21,0.25,0.09,0.34,0.28,0.62,0.4,0.98,0.21,0.57,0.67,0.31,0.67,0.34,0.83,0.76
moast.csv,0.49,0.14,0.0,0.07,0.25,0.37,0.49,0.36,0.97,0.18,0.69,0.4,0.22,0.56,0.44,0.99,0.72
mptvseries.csv,0.53,0.45,0.0,0.16,0.63,0.33,0.73,0.75,0.89,0.1,0.88,0.43,0.56,0.82,0.54,0.0,0.92
mvnforum.csv,0.5,0.12,0.22,0.06,0.4,0.41,0.44,0.37,0.98,0.12,0.57,0.36,0.19,0.6,0.5,0.99,0.65
nosleepsoftware.csv,0.0,0.16,0.58,0.03,0.29,0.2,1.0,0.19,1.0,0.29,0.0,0.5,0.2,0.44,0.14,0.09,0.5
ogre.csv,0.4,0.19,0.31,0.07,0.24,0.18,0.53,0.29,1.0,0.15,0.46,0.45,0.23,0.68,0.4,0.88,0.71
openfrag.csv,0.38,0.43,0.0,0.15,0.68,0.39,0.57,0.78,0.89,0.17,0.81,0.39,0.32,0.73,0.42,0.89,0.83
qdvdauthor.csv,0.35,0.41,0.24,0.0,0.46,0.37,0.5,0.35,0.97,0.15,0.59,0.46,0.31,0.81,0.31,0.97,0.85
sumatrapdf.csv,0.36,0.22,0.24,0.11,0.46,0.31,0.55,0.73,0.97,0.2,0.57,0.4,0.33,0.68,0.4,0.9,0.87
zxing.csv,0.41,0.47,0.15,0.17,0.5,0.41,0.68,0.86,0.95,0.23,0.62,0.5,0.32,0.78,0.48,0.61,0.91
