,qpe.csv,ikvm.csv,acegisecurity.csv,amateur-scrolls.csv,unflobtactical.csv,irrlicht.csv,ultimairis.csv,sigil.csv,xbg.csv,lportal.csv,ns-3-dev-def-routing.csv,les-indemodables.csv,biopax.csv,exl.csv,crux-framework.csv
acegisecurity.csv,0.09,0.32,0.46,0.34,0.71,0.78,0.35,0.69,0.22,0.06,0.39,0.39,0.85,0.83,0.03
amateur-scrolls.csv,0.17,0.0,0.5,0.53,0.89,0.89,0.35,0.85,0.0,0.02,0.44,0.69,0.88,0.96,0.02
biopax.csv,0.08,0.46,0.28,0.33,0.62,0.77,0.33,0.59,0.13,0.04,0.4,0.37,0.98,0.79,0.03
crux-framework.csv,0.07,0.9,0.23,0.29,0.5,0.84,0.39,0.6,0.0,0.08,0.48,0.12,0.62,0.9,0.25
exl.csv,0.11,0.43,0.3,0.33,0.59,0.82,0.4,0.73,0.08,0.03,0.43,0.65,0.71,0.94,0.03
ikvm.csv,0.05,0.77,0.28,0.22,0.5,0.76,0.33,0.34,0.14,0.02,0.3,0.23,0.62,0.42,0.02
irrlicht.csv,0.08,0.42,0.28,0.3,0.57,0.82,0.31,0.58,0.13,0.0,0.39,0.36,0.78,0.76,0.03
les-indemodables.csv,0.1,0.5,0.29,0.39,0.71,0.81,0.33,0.79,0.15,0.05,0.4,0.51,0.79,0.89,0.03
lportal.csv,0.12,0.71,0.36,0.0,1.0,0.75,0.0,0.89,0.14,0.14,0.47,0.5,1.0,0.88,0.2
ns-3-dev-def-routing.csv,0.12,0.5,0.33,0.42,0.8,0.81,0.45,0.75,0.12,0.06,0.53,0.39,0.87,0.85,0.04
qpe.csv,0.17,0.64,0.34,0.53,0.59,0.82,0.32,0.68,0.6,0.07,0.42,0.3,0.75,1.0,0.06
sigil.csv,0.16,0.37,0.46,0.42,0.83,0.81,0.34,0.84,0.2,0.07,0.45,0.52,0.92,0.87,0.02
ultimairis.csv,0.11,0.43,0.3,0.52,0.64,0.81,0.59,0.8,0.16,0.04,0.48,0.59,0.93,0.84,0.04
unflobtactical.csv,0.14,0.48,0.34,0.43,0.77,0.85,0.35,0.73,0.11,0.05,0.46,0.38,0.86,0.83,0.03
xbg.csv,0.03,0.44,0.29,0.14,0.52,0.7,0.47,0.32,0.33,0.01,0.5,0.27,0.7,0.43,0.0
