,qpe.csv,ikvm.csv,acegisecurity.csv,amateur-scrolls.csv,unflobtactical.csv,irrlicht.csv,ultimairis.csv,sigil.csv,xbg.csv,lportal.csv,ns-3-dev-def-routing.csv,les-indemodables.csv,biopax.csv,exl.csv,crux-framework.csv
acegisecurity.csv,0.16,0.41,0.54,0.51,0.78,0.63,0.43,0.81,0.35,0.11,0.46,0.52,0.61,0.87,0.07
amateur-scrolls.csv,0.27,0.0,0.46,0.64,0.6,0.44,0.36,0.67,0.0,0.04,0.35,0.42,0.46,0.78,0.03
biopax.csv,0.15,0.58,0.43,0.49,0.77,0.87,0.49,0.74,0.23,0.08,0.56,0.54,0.88,0.88,0.05
crux-framework.csv,0.08,0.56,0.18,0.15,0.05,0.21,0.22,0.27,0.0,0.14,0.36,0.08,0.13,0.35,0.4
exl.csv,0.18,0.48,0.4,0.47,0.52,0.46,0.4,0.68,0.12,0.05,0.46,0.46,0.52,0.84,0.06
ikvm.csv,0.09,0.83,0.3,0.28,0.52,0.77,0.48,0.31,0.24,0.03,0.34,0.28,0.44,0.27,0.04
irrlicht.csv,0.14,0.59,0.43,0.47,0.73,0.76,0.47,0.74,0.23,0.0,0.56,0.53,0.88,0.86,0.05
les-indemodables.csv,0.18,0.5,0.42,0.49,0.67,0.7,0.43,0.68,0.26,0.09,0.48,0.57,0.51,0.72,0.07
lportal.csv,0.07,0.34,0.19,0.0,0.33,0.1,0.0,0.26,0.13,0.24,0.16,0.52,0.25,0.49,0.25
ns-3-dev-def-routing.csv,0.21,0.48,0.46,0.41,0.74,0.61,0.49,0.79,0.18,0.11,0.58,0.51,0.68,0.77,0.08
qpe.csv,0.28,0.42,0.38,0.46,0.53,0.67,0.46,0.74,0.46,0.13,0.51,0.23,0.33,0.51,0.11
sigil.csv,0.25,0.34,0.58,0.59,0.77,0.62,0.47,0.81,0.26,0.12,0.5,0.57,0.49,0.85,0.05
ultimairis.csv,0.16,0.56,0.46,0.54,0.3,0.81,0.61,0.14,0.27,0.08,0.56,0.5,0.7,0.86,0.07
unflobtactical.csv,0.23,0.61,0.47,0.6,0.77,0.6,0.48,0.81,0.17,0.1,0.53,0.53,0.82,0.83,0.06
xbg.csv,0.05,0.26,0.09,0.07,0.43,0.49,0.38,0.17,0.48,0.02,0.07,0.24,0.17,0.12,0.0
