,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv
applet2app.csv,0.68,0.53,0.62,0.63,0.78,0.59,0.77,0.5,0.44,0.65
cities3d.csv,0.7,0.58,0.75,0.48,0.86,0.97,0.74,0.67,0.92,0.7
firebird.csv,0.77,0.63,0.51,0.56,0.67,0.62,0.73,0.42,0.39,0.72
hydrogen.csv,0.77,0.93,0.61,0.73,0.95,0.88,0.81,0.75,0.0,0.83
lphant.csv,0.51,0.4,0.44,0.46,0.5,0.46,0.59,0.47,0.5,0.4
open-ms.csv,0.65,0.39,0.51,0.57,0.76,0.55,0.91,0.65,0.81,0.88
qgo.csv,0.44,0.43,0.41,0.47,0.92,0.41,0.56,0.43,0.53,0.44
rhex.csv,0.86,0.4,0.68,0.61,0.95,0.92,0.8,0.5,0.0,0.96
xined.csv,0.83,0.4,0.98,0.57,0.91,0.96,0.8,0.89,0.43,0.96
yield.csv,0.42,0.37,0.36,0.43,0.52,0.37,0.55,0.39,0.36,0.4
