,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv
applet2app.csv,19.0,10.0,0.0,0.0,8.0,30.0,6.0,7.0,0.0,15.0
cities3d.csv,25.0,10.0,1.0,8.0,3.0,0.0,11.0,15.0,0.0,15.0
firebird.csv,23.0,3.0,0.0,6.0,2.0,35.0,21.0,10.0,7.0,15.0
hydrogen.csv,0.0,5.0,8.0,0.0,8.0,24.0,0.0,5.0,0.0,2.0
lphant.csv,10.0,12.0,0.0,8.0,8.0,34.0,20.0,0.0,0.0,19.0
open-ms.csv,16.0,15.0,0.0,8.0,6.0,74.0,4.0,0.0,0.0,0.0
qgo.csv,5.0,0.0,0.0,11.0,0.0,5.0,9.0,3.0,4.0,2.0
rhex.csv,0.0,6.0,4.0,8.0,5.0,3.0,0.0,0.0,54.0,2.0
xined.csv,4.0,12.0,3.0,8.0,0.0,8.0,4.0,0.0,8.0,10.0
yield.csv,7.0,4.0,0.0,7.0,0.0,50.0,4.0,0.0,7.0,6.0
