,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv
applet2app.csv,0.36,0.45,0.52,0.95,0.34,0.45,0.48,0.42,0.63,0.51
cities3d.csv,0.45,0.47,0.34,0.33,0.26,0.98,0.54,0.23,0.17,0.41
firebird.csv,0.29,0.37,0.98,0.58,0.48,0.44,0.34,0.61,0.7,0.46
hydrogen.csv,0.47,0.23,0.48,0.3,0.16,0.53,1.0,0.24,0.06,0.28
lphant.csv,0.74,0.46,0.53,0.48,0.46,0.62,0.69,0.56,1.0,0.57
open-ms.csv,0.55,0.32,0.58,0.51,0.4,0.42,0.34,0.5,0.45,0.94
qgo.csv,0.66,1.0,0.56,0.48,0.2,0.69,0.43,0.61,0.4,0.66
rhex.csv,0.63,0.59,0.37,0.5,0.13,0.19,0.29,0.24,0.0,0.19
xined.csv,0.2,0.45,0.2,0.53,0.2,0.28,0.43,0.92,0.53,0.12
yield.csv,0.64,0.7,0.63,0.44,0.96,0.38,0.51,0.43,0.74,0.56
