,jahshakafx.csv,electric-core.csv,jython.csv,popeye-chess.csv,mvnforum.csv,plplot.csv,openmalaria.csv,dspace-gsoc.csv,kftpgrabber.csv,zxing.csv
dspace-gsoc.csv,0.37,0.4,0.25,0.41,0.33,0.34,0.73,0.33,0.38,0.38
electric-core.csv,0.5,0.64,0.85,0.52,0.36,0.59,0.46,0.32,0.44,0.49
jahshakafx.csv,0.34,0.62,0.97,0.41,0.33,0.39,0.5,0.41,0.38,0.36
jython.csv,0.59,0.98,0.95,0.91,0.85,0.93,0.77,0.57,0.55,0.72
kftpgrabber.csv,0.37,0.4,0.23,0.39,0.43,0.45,0.5,0.47,0.4,0.36
mvnforum.csv,0.89,0.99,0.97,0.69,0.6,0.83,0.96,0.75,0.95,0.92
openmalaria.csv,0.36,0.46,0.27,0.41,0.29,0.36,0.41,0.32,0.38,0.32
plplot.csv,0.57,0.41,0.24,0.78,0.45,0.62,0.79,0.48,0.42,0.45
popeye-chess.csv,0.44,0.67,0.93,0.46,0.48,0.5,0.53,0.56,0.45,0.41
zxing.csv,0.41,0.71,0.96,0.47,0.41,0.73,0.59,0.88,0.39,0.41
