,jahshakafx.csv,electric-core.csv,jython.csv,popeye-chess.csv,mvnforum.csv,plplot.csv,openmalaria.csv,dspace-gsoc.csv,kftpgrabber.csv,zxing.csv
dspace-gsoc.csv,0.32,0.57,0.93,0.57,0.87,0.47,0.69,0.48,0.5,0.83
electric-core.csv,0.89,0.47,0.21,0.51,0.81,0.58,0.74,0.75,0.77,0.5
jahshakafx.csv,0.32,0.49,0.25,0.49,0.72,0.46,0.52,0.69,0.47,0.47
jython.csv,0.79,0.65,0.19,0.87,0.86,0.83,0.74,0.82,0.78,0.7
kftpgrabber.csv,0.43,0.7,0.95,0.43,0.86,0.65,0.98,0.81,0.34,0.72
mvnforum.csv,1.07,0.9,0.34,0.95,0.5,0.69,0.92,0.81,0.87,0.84
openmalaria.csv,0.4,0.54,0.86,0.4,0.83,0.55,0.33,0.74,0.54,0.71
plplot.csv,0.54,0.67,0.95,0.77,0.76,0.41,0.73,0.66,0.39,0.56
popeye-chess.csv,0.51,0.47,0.64,0.39,0.85,0.6,0.53,0.74,0.53,0.49
zxing.csv,0.43,0.5,0.41,0.6,0.53,0.72,0.63,0.95,0.41,0.34
