,jahshakafx.csv,electric-core.csv,jython.csv,popeye-chess.csv,mvnforum.csv,plplot.csv,openmalaria.csv,dspace-gsoc.csv,kftpgrabber.csv,zxing.csv
dspace-gsoc.csv,0.77,0.64,0.31,0.48,0.44,0.64,0.36,0.73,0.62,0.5
electric-core.csv,0.41,0.61,0.91,0.78,0.51,0.58,0.57,0.56,0.6,0.58
jahshakafx.csv,0.8,0.59,0.79,0.56,0.57,0.64,0.55,0.51,0.64,0.73
jython.csv,0.52,0.42,0.9,0.17,0.2,0.22,0.37,0.36,0.55,0.35
kftpgrabber.csv,0.8,0.62,0.34,0.64,0.35,0.42,0.02,0.34,0.85,0.63
mvnforum.csv,0.19,0.12,0.71,0.33,0.62,0.57,0.17,0.26,0.3,0.21
openmalaria.csv,0.82,0.63,0.43,0.68,0.48,0.62,0.76,0.61,0.71,0.64
plplot.csv,0.54,0.61,0.34,0.27,0.37,0.66,0.33,0.45,0.77,0.5
popeye-chess.csv,0.59,0.6,0.41,0.71,0.39,0.47,0.56,0.35,0.56,0.63
zxing.csv,0.66,0.56,0.64,0.45,0.73,0.34,0.43,0.1,0.71,0.75
