,id,count_recall,count_precision,count_pf,cdom_score,bellwether
54,2,1,2,2,1,mclient-mume.csv
50,3,1,4,7,6,chrysalis.csv
48,4,1,6,16,16,icescrum.csv
56,5,1,6,9,9,geotools.csv
22,6,3,10,16,17,jpaul.csv
17,7,1,5,16,15,joustsim.csv
27,8,4,2,8,10,synecdoche.csv
25,10,1,1,1,0,atunes.csv
16,11,1,2,3,2,columba.csv
55,13,1,3,3,2,nutz.csv
57,14,5,6,7,15,patterntesting.csv
49,15,2,7,14,13,aufs.csv
19,16,2,4,4,7,enlightenment.csv
24,17,1,1,2,1,voms.csv
14,18,1,1,2,2,qpe.csv
26,19,2,4,5,7,ng4j.csv
13,20,2,5,13,13,openxava.csv
28,21,3,3,6,7,arianne.csv
58,22,4,6,8,10,aztec.csv
15,27,2,2,6,6,h2database.csv
23,28,2,8,14,14,lamp.csv
18,29,1,6,14,15,algebsql.csv
38,30,1,12,15,17,geogebra.csv
33,31,2,3,3,4,smartgwt.csv
12,33,1,5,10,9,gbif-providertoolkit.csv
11,34,1,3,7,6,upp-mirror.csv
6,35,1,2,3,3,vapor.csv
32,36,4,7,10,15,libarchive.csv
39,37,1,10,18,17,unimrcp.csv
31,38,1,5,7,6,ikvm.csv
40,39,3,6,12,15,robocode.csv
52,40,1,3,8,6,k3d.csv
46,41,1,7,15,14,rocrail.csv
20,42,2,2,3,5,geochat.csv
30,43,1,7,12,12,google-web-toolkit.csv
29,44,2,13,20,19,netatalk.csv
21,45,1,2,4,3,tolven.csv
45,46,1,3,4,4,webdriver.csv
53,47,1,12,18,19,ktc.csv
47,48,1,4,5,8,synergyspace.csv
51,49,1,5,7,6,kmatplot.csv
3,50,1,5,9,11,biodwh.csv
41,52,1,6,7,10,arm-webradio.csv
37,53,1,5,15,15,powerfolder-.csv
36,54,1,2,3,2,graphmak.csv
42,55,1,6,20,17,jaxen.csv
7,56,1,4,9,8,oscarmcmaster.csv
5,57,2,6,15,17,moviesandbox.csv
8,58,1,7,17,14,lockss.csv
1,59,2,2,2,1,jmol.csv
10,60,1,5,14,13,maidsafe-dht.csv
0,61,1,6,7,9,irplus.csv
35,62,3,2,4,5,codeblocks.csv
43,63,3,9,11,17,jitterbit.csv
44,64,1,5,12,11,wxcode.csv
34,65,1,4,10,9,trinitycore.csv
2,66,1,5,5,8,fw4spl.csv
9,67,1,1,1,0,jrdf.csv
4,68,1,7,9,9,gwanted.csv
