,google-collections.csv,forester-atv.csv,mediate.csv,st-filteredstatistics.csv,projectfactory.csv,geotools.csv,l2j.csv,thedata.csv
forester-atv.csv,1.0,1.0,0.57,1.0,0.75,0.35,0.94,0.0
geotools.csv,0.95,0.46,0.5,0.8,0.38,1.0,0.78,0.04
google-collections.csv,1.0,0.38,0.57,0.75,0.48,0.28,0.72,0.06
l2j.csv,1.0,0.44,0.57,0.74,0.51,0.36,0.99,0.02
mediate.csv,1.0,0.39,0.98,0.81,0.53,0.3,0.76,0.05
projectfactory.csv,0.95,0.36,0.5,0.78,1.0,0.38,0.79,0.16
st-filteredstatistics.csv,1.0,0.41,0.57,0.98,0.53,0.32,0.76,0.08
thedata.csv,0.88,0.48,0.62,0.68,0.49,0.31,0.76,1.0
