,google-collections.csv,forester-atv.csv,mediate.csv,st-filteredstatistics.csv,projectfactory.csv,geotools.csv,l2j.csv,thedata.csv
forester-atv.csv,0.07,1.0,0.73,0.19,0.14,0.19,0.14,0.0
geotools.csv,0.61,0.31,0.55,0.33,0.31,0.98,0.41,0.07
google-collections.csv,1.0,0.53,0.72,0.86,0.64,0.44,0.84,0.11
l2j.csv,0.81,0.52,0.54,0.73,0.56,0.48,0.99,0.04
mediate.csv,0.79,0.54,0.99,0.84,0.62,0.41,0.69,0.1
projectfactory.csv,0.64,0.41,0.43,0.75,0.96,0.42,0.54,0.28
st-filteredstatistics.csv,0.73,0.55,0.72,0.99,0.67,0.47,0.55,0.15
thedata.csv,0.16,0.47,0.53,0.53,0.61,0.31,0.65,1.0
