,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,wxjs.csv,ffigo.csv,wikipediardware.csv
empserver.csv,0.28,0.21,0.41,0.42,0.97,1.0,0.46,0.37
enlightenment.csv,0.5,0.72,0.61,0.97,0.39,0.0,0.54,0.32
ffigo.csv,0.5,0.34,0.58,0.38,0.56,0.0,1.0,0.37
ildjit.csv,0.07,0.97,0.08,0.02,0.0,0.0,0.09,0.03
jfreereport.csv,0.38,0.69,0.89,0.31,0.39,0.75,0.45,0.34
psycle.csv,0.98,0.48,0.79,0.81,0.64,0.62,0.63,0.55
wikipediardware.csv,0.73,0.83,0.96,0.84,0.75,1.0,0.7,0.97
wxjs.csv,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
