,adaptagrams.csv,go.csv,bibedt.csv,moving-pictures.csv,libmesh.csv,glelite.csv,fulguro.csv
adaptagrams.csv,0.29,0.11,0.1,0.23,0.48,0.0,0.19
bibedt.csv,0.92,0.13,0.1,0.26,0.22,0.67,0.95
fulguro.csv,0.38,0.29,0.68,0.77,0.54,1.0,0.32
glelite.csv,1.0,0.93,0.98,0.97,0.91,0.0,0.71
go.csv,0.71,0.24,0.76,0.26,0.3,0.0,0.92
libmesh.csv,0.0,0.07,0.1,0.42,0.3,0.67,0.42
moving-pictures.csv,0.38,0.0,0.29,0.29,0.46,0.0,0.48
