,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv
adaptagrams.csv,0.79,0.94,0.46,0.26,0.23
aime.csv,0.48,0.78,0.13,0.0,0.31
badtrinitycore.csv,0.0,0.5,0.32,0.37,0.15
electric-core.csv,0.57,0.82,0.38,0.18,0.18
olsrd.csv,0.58,0.93,0.26,0.15,0.21
