,superwaba.csv,fritzing.csv,lmms.csv,ifmo-game-1.csv,empserver.csv,repositorium.csv,pgui.csv,jparsec.csv,lufa-lib.csv,doomlegacy.csv,xapian.csv,pi-qmc.csv,cortex-vfx.csv,zemljanka.csv
cortex-vfx.csv,0.28,0.29,0.22,0.36,0.09,0.15,0.3,0.12,0.28,0.12,0.09,0.16,0.22,0.22
doomlegacy.csv,0.75,0.64,0.62,0.7,0.15,0.69,0.25,0.91,0.46,0.42,0.12,1.0,0.86,0.22
empserver.csv,0.4,0.94,0.68,0.55,0.27,0.77,0.31,0.91,0.33,0.85,0.32,0.45,0.77,0.33
fritzing.csv,0.47,0.31,0.15,0.31,0.06,0.0,0.16,0.99,0.09,0.04,0.05,0.05,0.12,0.11
ifmo-game-1.csv,0.84,0.03,0.04,0.22,0.39,0.08,0.89,0.0,0.13,0.04,0.02,0.11,0.15,0.0
jparsec.csv,0.9,0.26,0.89,0.91,1.0,0.78,1.0,0.29,0.99,0.77,0.47,0.34,0.66,1.0
lmms.csv,0.25,0.23,0.37,0.44,0.15,0.14,0.3,0.36,0.73,0.38,0.1,0.21,0.3,0.56
lufa-lib.csv,0.1,0.34,0.33,0.58,0.09,0.26,0.47,0.9,0.28,0.27,0.76,0.64,0.06,0.56
pgui.csv,0.24,0.82,0.0,0.99,0.42,0.0,0.25,0.88,0.98,0.0,0.3,1.0,0.04,0.0
pi-qmc.csv,0.12,0.09,0.6,0.42,0.88,0.4,0.93,0.29,0.92,0.77,0.65,0.14,0.21,0.89
repositorium.csv,0.47,0.3,0.68,0.71,0.03,0.28,0.0,0.3,0.06,0.46,0.7,0.86,0.57,0.0
superwaba.csv,0.24,0.45,0.37,0.52,0.45,0.56,0.28,0.54,0.25,0.23,0.12,0.04,0.8,0.33
xapian.csv,0.99,0.87,0.79,0.74,0.48,0.5,0.67,0.64,0.77,0.58,0.26,0.7,0.87,0.78
zemljanka.csv,0.74,0.78,0.84,0.61,0.85,0.8,0.82,0.99,0.79,0.73,0.94,0.77,0.78,0.0
