,superwaba.csv,fritzing.csv,lmms.csv,ifmo-game-1.csv,empserver.csv,repositorium.csv,pgui.csv,jparsec.csv,lufa-lib.csv,doomlegacy.csv,xapian.csv,pi-qmc.csv,cortex-vfx.csv,zemljanka.csv
cortex-vfx.csv,0.43,0.58,0.71,0.68,0.78,0.83,0.48,0.81,0.69,0.67,0.62,0.53,0.48,0.88
doomlegacy.csv,0.77,0.65,0.68,0.72,0.66,0.78,0.44,0.92,0.62,0.48,0.55,1.0,0.86,0.78
empserver.csv,0.53,0.94,0.72,0.62,0.45,0.77,0.42,0.92,0.53,0.85,0.39,0.55,0.78,0.76
fritzing.csv,0.54,0.4,0.62,0.78,0.95,0.82,0.53,0.99,0.77,0.85,0.69,0.87,0.7,0.93
ifmo-game-1.csv,0.88,0.97,0.92,0.26,0.73,1.0,0.89,0.91,0.91,0.89,0.96,0.92,0.82,0.93
jparsec.csv,0.91,0.82,0.9,0.91,1.0,0.86,1.0,0.46,0.99,0.85,0.63,0.8,0.76,1.0
lmms.csv,0.47,0.76,0.5,0.62,0.74,0.83,0.58,0.54,0.75,0.63,0.55,0.54,0.58,0.72
lufa-lib.csv,0.63,0.49,0.66,0.82,0.84,0.77,0.59,0.92,0.43,0.68,0.82,0.81,0.72,0.88
pgui.csv,0.7,0.82,1.0,0.99,0.56,1.0,0.4,0.93,0.98,1.0,0.58,1.0,0.92,1.0
pi-qmc.csv,0.77,0.91,0.68,0.83,0.88,0.48,0.94,0.61,0.92,0.85,0.75,0.2,0.71,0.89
repositorium.csv,0.86,0.87,0.77,0.73,0.97,0.28,1.0,0.77,0.95,0.76,0.78,0.88,0.68,0.99
superwaba.csv,0.37,0.53,0.56,0.67,0.68,0.62,0.46,0.62,0.69,0.58,0.67,0.59,0.81,0.74
xapian.csv,0.99,0.88,0.81,0.75,0.64,0.57,0.69,0.79,0.8,0.67,0.43,0.88,0.88,0.83
zemljanka.csv,0.78,0.81,0.87,0.63,0.89,0.85,0.86,0.99,0.92,0.76,0.94,0.8,0.84,0.21
